Depth (ft)	Density (g/cc)	t_compressional (micros/ft)	t_shear (micros/ft)
5368	2.7021	51.11	87.9839
5368.5	2.7313	51.0921	87.9839
5369	2.732	51.3023	83.6484
5369.5	2.7229	51.9783	79.8893
5370	2.7191	52.5974	75.9233
5370.5	2.6993	53.0183	112.5527
5371	2.6574	53.2884	112.5527
5371.5	2.6489	53.0896	110.8549
5372	2.6417	52.3	103.6727
5372.5	2.6708	51.2195	113.3997
5373	2.6889	53.6161	111.8985
5373.5	2.6876	59.8298	117.6281
5374	2.726	62.4244	121.9815
5374.5	2.7535	64.199	132.0552
5375	2.6926	61.9045	149.0003
5375.5	2.6118	67.0479	142.458
5376	2.5845	65.9603	135.6051
5376.5	2.5755	65.9276	127.907
5377	2.5565	66.3514	136.2595
5377.5	2.5946	65.9058	128.5166
5378	2.5995	66.3401	145.625
5378.5	2.5916	65.5134	138.5756
5379	2.5905	63.6464	153.3415
5379.5	2.5912	63.5377	151.3953
5380	2.6084	64.2923	156.4544
5380.5	2.609	63.9258	156.1475
5381	2.6074	64.8708	157.0473
5381.5	2.591	65.5121	158.7773
5382	2.5838	68.3884	167.5227
5382.5	2.6009	84.5781	179.9131
5383	2.5773	86.3991	147.0871
5383.5	2.56	85.8714	146.8007
5384	2.5421	89.4578	150.5589
5384.5	2.5802	90.3506	151.5526
5385	2.5748	91.8016	149.7272
5385.5	2.5235	91.5504	149.7319
5386	2.4793	92.5806	149.5963
5386.5	2.5534	93.4827	182.3715
5387	2.5906	75.4277	187.6569
5387.5	2.5422	73.6508	181.4849
5388	2.5186	72.5179	173.3403
5388.5	2.5182	70.69	168.833
5389	2.5216	72.0356	170.3922
5389.5	2.5594	73.5447	157.1182
5390	2.5364	74.2229	155.96
5390.5	2.5089	75.4163	155.624
5391	2.5306	73.2461	145.028
5391.5	2.5489	71.8052	170.5824
5392	2.5275	73.6562	168.6604
5392.5	2.5243	81.4409	173.8796
5393	2.5838	86.1105	177.722
5393.5	2.5474	83.5974	167.0017
5394	2.5267	80.8678	158.1842
5394.5	2.599	76.4157	132.7042
5395	2.6002	74.9194	129.259
5395.5	2.6112	72.6897	128.8317
5396	2.5904	73.1095	125.9198
5396.5	2.5884	72.4691	128.0275
5397	2.5967	71.947	127.4908
5397.5	2.6261	71.9042	128.5966
5398	2.6119	72.2041	132.895
5398.5	2.5993	72.7336	129.0268
5399	2.606	73.0022	129.3578
5399.5	2.6042	73.8275	133.3466
5400	2.61	74.8869	140.1938
5400.5	2.603	75.8234	146.1619
5401	2.6121	76.4405	153.7501
5401.5	2.619	77.368	178.9086
5402	2.612	78.5044	225.8731
5402.5	2.6123	78.711	226.0238
5403	2.6046	79.0874	230.4054
5403.5	2.608	79.5166	237.4426
5404	2.6	80.0507	238.5789
5404.5	2.5904	80.6391	241.4301
5405	2.5755	81.3124	242.0342
5405.5	2.5991	81.5475	132.996
5406	2.5922	82.663	114.9887
5406.5	2.5862	83.2617	119.1944
5407	2.5968	84.4042	127.204
5407.5	2.5474	84.7029	248.9905
5408	2.5922	84.8598	238.7867
5408.5	2.5767	85.3136	238.7867
5409	2.5596	85.251	194.127
5409.5	2.6022	86.6284	191.2715
5410	2.5975	87.4669	177.8824
5410.5	2.5942	87.8541	173.8036
5411	2.5703	88.0822	162.7826
5411.5	2.5803	87.7029	168.1365
5412	2.5682	88.1727	161.2065
5412.5	2.5531	88.1512	166.4035
5413	2.5794	89.7693	198.3937
5413.5	2.5901	90.9304	199.7803
5414	2.5519	91.3369	200.7969
5414.5	2.5308	91.6697	205.7896
5415	2.552	90.0202	202.4254
5415.5	2.5139	90.0507	197.5922
5416	2.535	91.0472	201.6626
5416.5	2.5697	90.4943	186.1867
5417	2.5926	84.4214	184.7334
5417.5	2.5793	77.4479	179.3256
5418	2.5438	69.2016	172.4582
5418.5	2.5391	65.9349	151.5427
5419	2.5284	58.3795	137.8275
5419.5	2.5642	57.6356	127.7893
5420	2.7033	62.5456	113.3075
5420.5	2.803	61.8832	113.1363
5421	2.7888	61.4961	113.3643
5421.5	2.6818	60.9179	113.0218
5422	2.5849	62.3113	111.5387
5422.5	2.6753	60.3702	111.4198
5423	2.7267	60.558	115.1731
5423.5	2.7445	63.2526	124.579
5424	2.6963	65.4868	125.2573
5424.5	2.6595	64.2307	121.9493
5425	2.6564	61.4997	115.9945
5425.5	2.458	60.4416	125.8923
5426	2.6121	60.5136	120.6036
5426.5	2.7436	59.6042	125.0871
5427	2.748	59.9538	129.7947
5427.5	2.7272	63.7083	134.3671
5428	2.6641	65.3583	143.7729
5428.5	2.6545	65.769	149.7451
5429	2.6687	65.4738	126.8557
5429.5	2.6508	66.7077	110.0255
5430	2.6542	67.9614	122.2822
5430.5	2.6486	69.3219	116.4138
5431	2.6422	71.4322	123.3546
5431.5	2.6131	70.9385	126.1284
5432	2.5952	71.1152	135.2083
5432.5	2.6252	70.843	139.1874
5433	2.6518	71.753	149.1757
5433.5	2.626	72.1789	149.4743
5434	2.6472	72.8354	145.6362
5434.5	2.6314	73.1403	139.5333
5435	2.6238	73.3705	150.3239
5435.5	2.6361	73.313	125.6541
5436	2.6419	72.9334	127.3828
5436.5	2.6594	62.9326	141.6577
5437	2.6301	63.7629	138.2648
5437.5	2.6338	66.7157	164.4634
5438	2.6168	65.3602	154.6376
5438.5	2.5993	66.7179	302.8941
5439	2.5471	69.4546	297.3261
5439.5	2.62	68.6149	291.249
5440	2.6205	68.2196	292.1178
5440.5	2.5912	67.8809	295.8957
5441	2.6007	68.2843	300.1542
5441.5	2.5831	68.2912	302.4466
5442	2.627	67.3688	304.2452
5442.5	2.5748	67.251	298.9312
5443	2.6244	70.0591	205.2304
5443.5	2.5509	69.8767	205.3962
5444	2.5964	71.3945	205.9821
5444.5	2.6352	70.6915	177.5813
5445	2.568	73.9994	180.7812
5445.5	2.5461	74.9256	187.0724
5446	2.5677	75.7632	203.1258
5446.5	2.5345	74.3923	202.1751
5447	2.5483	73.8192	190.6472
5447.5	2.6398	73.1203	195.0907
5448	2.6299	72.6014	189.4324
5448.5	2.5648	71.5979	190.0063
5449	2.5881	73.0759	187.5228
5449.5	2.5693	66.9338	182.7202
5450	2.5702	67.6707	177.9177
5450.5	2.61	66.6185	171.7278
5451	2.5482	67.2495	172.1843
5451.5	2.4963	67.1572	177.0481
5452	2.5738	66.3504	185.246
5452.5	2.5903	65.5304	200.647
5453	2.6094	65.1075	200.4054
5453.5	2.5237	69.9782	188.5163
5454	2.5782	70.0871	186.2715
5454.5	2.5992	68.5988	163.9901
5455	2.5391	68.5602	171.1815
5455.5	2.5418	67.7613	166.0168
5456	2.4177	73.6536	178.6331
5456.5	2.6431	73.7944	179.0964
5457	2.5929	74.305	190.4104
5457.5	2.5422	74.7679	195.2031
5458	2.5699	77.0321	193.2742
5458.5	2.5894	74.6609	196.8546
5459	2.4385	73.332	178.326
5459.5	2.4925	71.2234	176.9115
5460	2.5375	67.2602	152.4922
5460.5	2.5508	62.0339	126.121
5461	2.5912	57.5968	126.3155
5461.5	2.7351	57.9421	111.4152
5462	2.7028	57.4722	104.5707
5462.5	2.6878	53.4449	101.5131
5463	2.6879	52.2315	99.2503
5463.5	2.6918	51.4404	97.7508
5464	2.722	51.87	91.9336
5464.5	2.729	53.0614	92.2999
5465	2.7401	53.0863	92.9321
5465.5	2.7323	52.8844	91.1406
5466	2.7158	53.6196	91.1077
5466.5	2.7228	52.7865	92.8417
5467	2.706	53.1068	92.1624
5467.5	2.7237	54.7644	93.7524
5468	2.7338	54.1876	94.3594
5468.5	2.7253	55.4597	95.3052
5469	2.7155	54.0097	96.3777
5469.5	2.7183	54.8617	94.4457
5470	2.7137	54.6807	93.6112
5470.5	2.6917	53.2602	94.3211
5471	2.702	57.0611	95.1993
5471.5	2.6848	56.7459	95.6354
5472	2.7046	56.7424	95.2861
5472.5	2.7126	57.9935	95.5891
5473	2.6661	57.0068	96.4154
5473.5	2.6657	56.944	96.4154
5474	2.6866	56.3082	99.7086
5474.5	2.6649	56.2865	97.9767
5475	2.7045	57.185	91.4077
5475.5	2.7155	57.4844	97.3351
5476	2.6667	59.5403	102.4976
5476.5	2.6412	59.8338	100.9357
5477	2.6621	59.9288	102.7604
5477.5	2.6542	60.056	102.7688
5478	2.653	59.659	103.2545
5478.5	2.6767	60.1081	102.8727
5479	2.6798	60.5675	102.2197
5479.5	2.6737	60.9711	110.8791
5480	2.6459	62.6452	112.5772
5480.5	2.6305	64.033	113.2285
5481	2.621	63.867	110.6721
5481.5	2.6123	63.1638	110.0536
5482	2.6232	62.5395	111.2463
5482.5	2.6336	61.5935	113.0223
5483	2.6242	61.2176	111.647
5483.5	2.666	60.7856	109.8839
5484	2.6722	62.0596	110.5698
5484.5	2.6802	63.5629	111.4213
5485	2.6266	65.1789	111.4469
5485.5	2.6132	65.4044	111.1548
5486	2.6386	66.0548	102.652
5486.5	2.6051	65.7135	98.7684
5487	2.6153	65.6764	101.5914
5487.5	2.6549	65.8018	103.3219
5488	2.6595	65.735	110.6995
5488.5	2.6368	67.3576	113.7777
5489	2.6327	68.8173	115.5994
5489.5	2.6445	69.074	127.5464
5490	2.6379	70.0142	153.938
5490.5	2.6291	69.2743	157.7508
5491	2.6337	69.8396	161.5636
5491.5	2.6318	68.135	168.8307
5492	2.6256	67.9581	190.2
5492.5	2.6034	67.3796	180.4809
5493	2.6411	68.5129	174.987
5493.5	2.6413	69.7783	169.8538
5494	2.6725	73.6168	170.77
5494.5	2.6467	74.6759	163.575
5495	2.6113	79.05	157.6303
5495.5	2.5629	79.1641	160.2545
5496	2.5957	78.5598	160.3832
5496.5	2.5902	79.7266	167.8668
5497	2.5872	78.5556	175.4291
5497.5	2.5904	77.8583	158.9951
5498	2.5878	77.9818	157.3408
5498.5	2.5966	78.4681	152.6486
5499	2.6041	78.5173	147.6541
5499.5	2.6176	78.4246	137.8489
5500	2.594	79.7678	139.2518
5500.5	2.6091	78.8126	126.8768
5501	2.6084	73.3118	177.3346
5501.5	2.6118	74.0687	172.7227
5502	2.6353	83.2646	182.017
5502.5	2.6263	87.5229	199.0407
5503	2.3405	93.923	205.8345
5503.5	2.4191	80.2153	199.1198
5504	2.3777	76.431	210.9944
5504.5	2.2787	75.6976	217.9935
5505	2.324	77.6263	221.4337
5505.5	2.3553	76.5097	185.8063
5506	2.4953	75.4754	189.4076
5506.5	2.5106	74.461	204.7377
5507	2.3908	74.2089	213.4255
5507.5	2.3483	74.8043	206.3733
5508	2.4313	74.2346	212.5571
5508.5	2.4854	73.1423	207.949
5509	2.4996	73.9386	210.927
5509.5	2.5604	74.307	214.2574
5510	2.5317	71.933	194.2324
5510.5	2.6527	71.4901	216.0625
5511	2.2925	75.8502	165.4452
5511.5	2.5603	79.2889	131.4427
5512	2.6261	72.9854	118.4551
5512.5	2.6141	68.9649	125.1019
5513	2.6369	63.596	111.6827
5513.5	2.6488	58.4226	106.556
5514	2.6955	56.7549	107.8554
5514.5	2.7489	57.8866	110.8667
5515	2.7178	59.5933	111.7967
5515.5	2.6863	64.1522	118.0134
5516	2.7301	69.1965	127.0711
5516.5	2.708	71.8546	135.6593
5517	2.6835	73.201	134.7073
5517.5	2.5052	72.2377	142.8096
5518	2.5953	73.4088	146.2584
5518.5	2.6605	67.1576	169.6015
5519	2.6465	61.9171	153.2063
5519.5	2.6821	64.8437	153.843
5520	2.6433	67.3067	156.5835
5520.5	2.6068	73.4435	160.6279
5521	2.5646	73.2215	159.826
5521.5	2.6385	71.2405	137.3972
5522	2.5645	70.844	130.8512
5522.5	2.5067	68.9748	127.5036
5523	2.5955	63.5132	115.4523
5523.5	2.72	61.7214	113.3777
5524	2.6976	62.2059	114.7823
5524.5	2.6655	66.4457	116.39
5525	2.6519	66.0945	114.383
5525.5	2.6215	65.2802	111.8031
5526	2.6156	63.5971	111.4935
5526.5	2.667	61.2827	110.887
5527	2.7041	60.1973	111.7165
5527.5	2.7288	60.2166	111.8583
5528	2.6832	60.8786	111.1598
5528.5	2.7005	62.7547	113.9214
5529	2.6926	68.032	116.5436
5529.5	2.6749	72.1906	125.3543
5530	2.6524	75.2582	127.0671
5530.5	2.585	79.0708	131.1566
5531	2.5593	79.9154	133.407
5531.5	2.5491	78.5013	133.3958
5532	2.5581	74.5631	127.7082
5532.5	2.5962	68.1716	120.5578
5533	2.5988	62.9929	115.085
5533.5	2.6347	59.7079	110.8984
5534	2.6765	57.0519	105.5802
5534.5	2.6418	56.5451	107.1765
5535	2.6846	57.2717	108.3915
5535.5	2.7022	57.4953	105.6429
5536	2.6852	60.7762	111.8066
5536.5	2.6656	63.9178	111.8066
5537	2.6603	64.4464	110.9237
5537.5	2.6415	64.6866	110.0658
5538	2.6374	63.6442	112.8982
5538.5	2.6171	63.6883	113.3326
5539	2.5852	63.7482	115.8324
5539.5	2.6989	64.6852	115.1425
5540	2.7092	66.4483	121.3633
5540.5	2.6422	67.8895	125.0909
5541	2.645	69.7918	124.895
5541.5	2.6376	69.8116	126.3143
5542	2.6359	69.9647	126.275
5542.5	2.6078	68.6857	127.529
5543	2.6385	69.7099	128.5658
5543.5	2.6694	69.3759	133.5529
5544	2.6268	70.1109	122.8948
5544.5	2.6355	71.7568	127.1754
5545	2.6535	73.5156	134.6223
5545.5	2.6163	75.404	164.9515
5546	2.6368	76.1164	143.4185
5546.5	2.6008	77.7627	144.8295
5547	2.6135	80.56	148.5362
5547.5	2.5922	82.9244	147.4831
5548	2.6249	80.9576	145.6863
5548.5	2.6046	80.9201	142.0122
5549	2.599	78.1626	137.6319
5549.5	2.5653	73.2699	125.706
5550	2.6114	69.7909	119.0851
5550.5	2.6372	68.0024	114.0677
5551	2.6334	65.3242	112.4569
5551.5	2.6208	66.0068	110.3835
5552	2.5877	66.6811	104.7349
5552.5	2.5951	65.7852	105.2655
5553	2.6267	65.7071	107.6254
5553.5	2.5747	67.6849	111.17
5554	2.5802	68.9146	114.5956
5554.5	2.5854	73.8929	125.446
5555	2.6122	75.4825	159.3778
5555.5	2.6618	77.5403	163.418
5556	2.5954	77.4351	160.4961
5556.5	2.5934	73.996	151.631
5557	2.3247	74.0218	146.7919
5557.5	2.4631	75.6834	140.1237
5558	2.6355	63.4981	127.7666
5558.5	2.6556	61.5157	95.363
5559	2.6269	60.2115	93.0247
5559.5	2.6348	62.2166	96.9464
5560	2.5735	65.5203	101.1183
5560.5	2.6351	69.5316	108.8688
5561	2.6586	70.4368	112.8579
5561.5	2.6047	71.5373	110.5387
5562	2.5821	72.9965	114.3556
5562.5	2.5983	73.9573	114.4867
5563	2.6269	74.6471	125.6919
5563.5	2.6353	74.341	124.7552
5564	2.6202	74.3619	126.5651
5564.5	2.5876	75.0631	124.7911
5565	2.616	74.0817	125.0407
5565.5	2.6117	74.3539	126.0265
5566	2.6035	74.121	125.6208
5566.5	2.6331	73.7167	133.6697
5567	2.6315	74.0161	142.6472
5567.5	2.636	74.998	146.6204
5568	2.6289	75.1498	143.5889
5568.5	2.6182	75.3635	151.5122
5569	2.6157	75.0409	152.1582
5569.5	2.638	75.795	150.9697
5570	2.6363	75.4415	151.8461
5570.5	2.6444	74.6046	159.7107
5571	2.647	74.3736	160.1916
5571.5	2.6356	74.0852	147.1762
5572	2.632	73.3222	151.163
5572.5	2.6314	71.4207	140.8213
5573	2.6426	69.5745	145.1871
5573.5	2.6599	69.6661	152.6031
5574	2.6648	70.3332	148.0389
5574.5	2.7002	72.068	154.5104
5575	2.6828	74.4234	167.6421
5575.5	2.6388	76.4534	166.5109
5576	2.5792	79.7452	168.5368
5576.5	2.6006	82.1105	168.5368
5577	2.5971	82.7547	168.4601
5577.5	2.5876	82.8815	169.1611
5578	2.5947	81.6468	145.6718
5578.5	2.5823	80.7961	132.7119
5579	2.5908	80.3926	135.0234
5579.5	2.5917	80.2638	134.2587
5580	2.6129	80.3843	139.0827
5580.5	2.6206	80.6977	137.5316
5581	2.575	82.1231	142.4557
5581.5	2.5572	83.3646	147.2366
5582	2.5729	83.8859	151.8111
5582.5	2.6301	84.6573	154.3676
5583	2.594	84.6741	153.2825
5583.5	2.5906	84.6391	151.3786
5584	2.588	82.7502	155.9838
5584.5	2.5766	78.2661	146.4308
5585	2.5734	74.5514	137.8542
5585.5	2.5836	71.2226	132.6473
5586	2.6219	60.7676	127.4205
5586.5	2.6701	70.9471	134.2414
5587	2.6263	72.7468	134.8155
5587.5	2.6003	74.2357	132.6978
5588	2.5393	74.8638	133.0024
5588.5	2.5351	72.9544	124.2523
5589	2.5321	69.2773	121.2105
5589.5	2.5832	63.0657	105.9818
5590	2.6365	59.138	101.9181
5590.5	2.6867	57.2661	100.4932
5591	2.6734	56.7153	100.1398
5591.5	2.6689	58.7371	92.9334
5592	2.6759	62.4882	97.31
5592.5	2.6878	64.2781	104.1545
5593	2.616	67.2021	108.5588
5593.5	2.5441	68.2931	111.837
5594	2.5207	68.9309	111.648
5594.5	2.5373	68.6481	113.681
5595	2.5905	68.9661	113.3376
5595.5	2.5554	69.22	113.2995
5596	2.5815	70.7939	114.3331
5596.5	2.6009	70.5121	114.5539
5597	2.5611	71.3585	114.9346
5597.5	2.595	70.9152	114.9346
5598	2.5806	70.8468	115.7159
5598.5	2.5849	70.8721	116.0126
5599	2.5937	70.2289	117.903
5599.5	2.5985	70.193	116.5287
5600	2.6412	71.1016	118.569
5600.5	2.612	71.3937	119.2334
5601	2.5469	72.618	122.3373
5601.5	2.5391	73.5968	123.4259
5602	2.5652	73.7801	125.8836
5602.5	2.6028	73.544	124.8298
5603	2.6053	73.9816	125.8248
5603.5	2.5281	73.3709	125.8248
5604	2.5402	73.4173	124.7851
5604.5	2.5494	73.2171	125.5376
5605	2.6188	73.4004	124.4892
5605.5	2.5591	73.589	124.6017
5606	2.6	74.1145	126.0915
5606.5	2.5705	74.5303	124.6237
5607	2.5531	74.3166	124.14
5607.5	2.5561	74.1878	121.6227
5608	2.569	73.2606	121.8647
5608.5	2.5647	72.7535	124.0868
5609	2.567	72.1784	122.0593
5609.5	2.5899	69.7213	117.6897
5610	2.5609	68.452	115.0965
5610.5	2.5739	65.2608	112.4331
5611	2.5768	63.0787	105.2845
5611.5	2.6454	61.4254	101.9141
5612	2.6822	60.724	101.5863
5612.5	2.6733	63.2124	104.357
5613	2.6585	65.2672	107.5334
5613.5	2.6365	66.6696	111.6887
5614	2.5908	69.2573	113.2924
5614.5	2.5946	68.9751	114.508
5615	2.5572	67.9536	114.0778
5615.5	2.5491	66.9664	111.9133
5616	2.5779	65.4343	110.7747
5616.5	2.6136	64.6474	109.4583
5617	2.6462	66.3625	113.4808
5617.5	2.6443	69.268	113.649
5618	2.6192	71.1142	114.8445
5618.5	2.5598	72.9654	117.9422
5619	2.5514	74.9957	122.0553
5619.5	2.5481	75.4375	123.0398
5620	2.5465	75.8023	124.1254
5620.5	2.511	76.0432	123.5707
5621	2.5408	75.5611	124.5396
5621.5	2.5437	75.095	124.6173
5622	2.559	74.9099	124.4385
5622.5	2.5898	74.3812	124.4385
5623	2.5794	74.1999	122.952
5623.5	2.5767	74.646	122.6379
5624	2.5493	74.5071	122.6921
5624.5	2.5466	74.3112	123.2387
5625	2.5616	73.7194	120.3747
5625.5	2.5673	72.4624	118.5486
5626	2.5586	71.1051	117.096
5626.5	2.5662	70.6822	115.8198
5627	2.5845	70.3619	115.8198
5627.5	2.6362	69.0206	113.6181
5628	2.6508	67.7949	112.8619
5628.5	2.5893	65.9994	111.412
5629	2.585	64.516	112.6249
5629.5	2.6521	66.1759	112.5635
5630	2.6564	67.0345	112.7828
5630.5	2.66	68.3836	114.6919
5631	2.6432	71.5383	116.3628
5631.5	2.5694	74.4867	115.9261
5632	2.5313	74.4273	122.4577
5632.5	2.6191	74.0391	121.025
5633	2.5889	74.1778	122.3938
5633.5	2.5592	76.0853	122.8201
5634	2.5207	77.6462	123.4365
5634.5	2.6224	77.6133	126.0689
5635	2.583	78.3501	125.8259
5635.5	2.438	78.3181	124.4501
5636	2.5524	78.0467	121.9566
5636.5	2.5448	75.4812	118.1153
5637	2.5369	73.1674	115.5771
5637.5	2.5342	72.0912	114.7699
5638	2.5048	68.9259	111.2941
5638.5	2.5547	69.2435	109.3699
5639	2.5625	69.9642	111.062
5639.5	2.6664	70.543	110.354
5640	2.6467	73.159	113.7065
5640.5	2.6605	74.8043	113.2097
5641	2.7545	76.7508	116.441
5641.5	2.8519	78.5692	122.2197
5642	2.7086	78.5151	126.6107
5642.5	2.6849	79.3607	128.2761
5643	2.668	77.3414	125.0779
5643.5	2.6963	76.3145	124.4781
5644	2.7172	74.5223	125.9148
5644.5	2.5658	72.2439	116.5133
5645	2.634	71.5484	111.7083
5645.5	2.6505	71.2744	110.9965
5646	2.7095	74.2697	122.786
5646.5	2.746	77.992	124.801
5647	2.6983	81.1206	127.5374
5647.5	2.6449	84.4515	131.7921
5648	2.6072	86.3557	135.9929
5648.5	2.4692	87.5159	133.3296
5649	2.4505	87.7657	131.5643
5649.5	2.4732	87.7473	134.3716
5650	2.4631	86.7222	134.9944
5650.5	2.4807	86.6603	133.6457
5651	2.4885	86.0151	135.0096
5651.5	2.4741	84.7356	135.4717
5652	2.4763	85.3825	133.8639
5652.5	2.4916	84.5175	134.9247
5653	2.4595	85.5682	141.8246
5653.5	2.509	87.1359	145.3291
5654	2.4932	87.5808	145.1884
5654.5	2.501	88.4334	144.9826
5655	2.4746	87.3212	147.1473
5655.5	2.4882	86.6307	147.1473
5656	2.4911	85.9471	133.9389
5656.5	2.5553	86.0094	135.8597
5657	2.4832	85.6081	135.4689
5657.5	2.5177	85.5285	140.2865
5658	2.552	85.5576	134.5243
5658.5	2.5228	85.7306	134.8934
5659	2.4546	84.8466	134.2
5659.5	2.4956	83.111	132.7976
5660	2.4942	79.071	124.4277
5660.5	2.4928	76.678	112.3774
5661	2.5185	75.2402	107.6551
5661.5	2.5876	73.2127	111.5516
5662	2.641	73.6708	113.5135
5662.5	2.6073	75.5196	114.5987
5663	2.6046	77.7601	124.7357
5663.5	2.5883	81.5222	125.9186
5664	2.5919	82.9281	124.0584
5664.5	2.4891	85.1276	127.3518
5665	2.4852	85.8391	122.9005
5665.5	2.5981	84.7476	126.5885
5666	2.4493	84.6007	123.718
5666.5	2.5028	85.4165	117.6158
5667	2.4984	85.1333	125.4606
5667.5	2.7327	84.4426	129.6789
5668	2.6542	80.858	132.306
5668.5	2.623	77.3931	127.5487
5669	2.6073	75.4639	127.8361
5669.5	2.6987	74.4012	124.0476
5670	2.5147	74.1618	140.4343
5670.5	2.6596	74.3954	122.2724
5671	2.7126	77.0368	115.6221
5671.5	2.7102	80.5363	120.3653
5672	2.6185	83.9446	126.9501
5672.5	2.5531	84.3844	128.2294
5673	2.5241	89.3267	144.8112
5673.5	2.542	89.5615	146.1237
5674	2.5514	88.9772	142.1566
5674.5	2.5177	87.9125	145.1475
5675	2.5208	88.1783	145.791
5675.5	2.5089	88.423	150.9762
5676	2.4958	88.4257	146.7463
5676.5	2.4746	87.8525	144.4118
5677	2.494	86.9126	145.4641
5677.5	2.4809	86.9576	143.7993
5678	2.5079	85.1228	140.7209
5678.5	2.5233	82.0821	134.49
5679	2.559	80.5414	133.0732
5679.5	2.5571	78.8379	131.946
5680	2.5595	78.5179	128.0527
5680.5	2.7137	78.6605	127.806
5681	2.7789	77.012	128.9729
5681.5	2.7221	77.8938	128.8008
5682	2.6357	78.5412	128.2948
5682.5	2.5826	79.1244	129.1937
5683	2.6457	77.9248	128.5187
5683.5	2.5669	79.365	131.963
5684	2.5842	80.7316	131.0831
5684.5	2.5672	82.2868	130.0952
5685	2.5335	84.1664	134.0982
5685.5	2.7981	84.9068	132.3206
5686	2.6388	85.7389	132.4679
5686.5	2.3886	85.4378	128.006
5687	2.4516	81.8673	130.1218
5687.5	2.462	79.8659	130.4812
5688	2.4615	78.8797	124.4812
5688.5	2.4674	74.5756	125.0634
5689	2.6159	73.3258	125.7622
5689.5	2.6617	72.4583	124.2917
5690	2.5693	74.2568	121.0682
5690.5	2.5643	74.9697	119.2305
5691	2.6724	75.2051	115.9481
5691.5	2.5446	73.71	114.9371
5692	2.5454	72.4702	112.303
5692.5	2.4452	69.9236	115.6006
5693	2.467	69.8147	113.9939
5693.5	2.6792	70.8692	113.7577
5694	2.6747	72.3983	115.2951
5694.5	2.6216	75.9123	119.56
5695	2.4641	80.2878	123.0747
5695.5	2.4468	82.1856	126.8837
5696	2.4312	83.2562	127.0446
5696.5	2.4294	84.1021	128.473
5697	2.4322	83.4774	128.759
5697.5	2.4375	82.9713	129.0268
5698	2.4125	82.5993	132.0188
5698.5	2.4343	81.5099	134.0983
5699	2.4608	80.5184	134.3276
5699.5	2.4949	80.059	132.3602
5700	2.5146	80.4271	129.6706
5700.5	2.5026	80.5163	132.4276
5701	2.5108	80.3526	134.3709
5701.5	2.4776	80.7316	130.7135
5702	2.4774	81.2933	126.8314
5702.5	2.4895	82.0466	126.7065
5703	2.4515	83.2637	134.549
5703.5	2.4231	83.9327	134.8689
5704	2.3918	81.6511	134.2689
5704.5	2.3769	77.7334	126.4471
5705	2.3874	75.087	125.7429
5705.5	2.4433	74.1649	126.0475
5706	2.6192	72.209	125.6419
5706.5	2.7186	72.7186	126.3086
5707	2.6051	78.0571	130.6636
5707.5	2.5189	82.1252	133.0569
5708	2.566	83.0519	132.4611
5708.5	2.6678	84.244	134.3414
5709	2.4132	85.6863	135.4495
5709.5	2.4185	86.5789	136.6648
5710	2.4103	85.8179	133.3363
5710.5	2.4044	85.2553	133.8673
5711	2.3904	85.6193	133.4291
5711.5	2.4299	84.076	133.1446
5712	2.4319	83.361	131.9179
5712.5	2.4739	83.0876	131.0092
5713	2.4593	83.3895	130.2626
5713.5	2.4723	83.8327	131.0373
5714	2.4771	84.331	131.1909
5714.5	2.4795	85.3455	132.3049
5715	2.4887	84.485	129.2368
5715.5	2.4745	81.1726	129.0889
5716	2.4686	78.9807	128.1858
5716.5	2.424	75.2698	125.1758
5717	2.4681	73.3478	123.8613
5717.5	2.6079	69.7451	121.5697
5718	2.7499	69.7745	119.8464
5718.5	2.6656	72.0958	120.6008
5719	2.5729	75.1529	122.0821
5719.5	2.5254	76.4381	123.2619
5720	2.7533	77.7715	125.3393
5720.5	2.5486	80.0174	127.1788
5721	2.4617	81.0918	125.9927
5721.5	2.4442	79.5702	124.8805
5722	2.4864	77.9827	124.7322
5722.5	2.5483	77.3885	123.7883
5723	2.5529	77.5683	124.0525
5723.5	2.556	78.7205	125.1016
5724	2.5501	79.9317	125.1219
5724.5	2.5282	80.8005	126.9208
5725	2.5191	82.0709	127.018
5725.5	2.4629	82.9143	127.4774
5726	2.4281	83.476	127.6687
5726.5	2.4318	81.1278	126.7756
5727	2.467	79.752	126.2206
5727.5	2.4976	77.3741	125.1705
5728	2.4859	76.8694	123.8176
5728.5	2.5152	75.9141	124.6577
5729	2.6707	73.0515	123.856
5729.5	2.5055	69.7234	115.841
5730	2.4772	67.0946	113.6646
5730.5	2.4461	60.2452	111.2374
5731	2.6381	57.6164	109.3135
5731.5	2.6898	57.3371	108.42
5732	2.6966	60.3403	106.3821
5732.5	2.6919	63.3494	107.177
5733	2.6784	68.4286	110.3354
5733.5	2.5906	73.2424	113.1579
5734	2.5654	76.2612	114.763
5734.5	2.5303	79.2137	115.4693
5735	2.5081	80.3713	124.1693
5735.5	2.5063	81.5243	125.7862
5736	2.5058	82.5446	126.3016
5736.5	2.5085	83.4686	127.4088
5737	2.475	84.8253	128.1366
5737.5	2.4644	84.9068	127.9257
5738	2.4693	84.8555	128.1933
5738.5	2.4743	84.1446	127.7575
5739	2.456	83.6003	127.2406
5739.5	2.4472	83.0548	126.8281
5740	2.4851	82.5072	126.8579
5740.5	2.5058	80.7152	126.8902
5741	2.5059	80.4987	125.7934
