Depth (ft)	Density (g/cc)	t_compressional (micros/ft)	t_shear (micros/ft)
5084.5	2.5805	89.7824	154.5974
5085	2.5637	93.1255	161.9592
5085.5	2.5546	93.7607	164.7975
5086	2.5657	93.8828	166.4564
5086.5	2.5803	93.4944	163.1121
5087	2.6001	93.362	162.5188
5087.5	2.5744	94.5295	162.9188
5088	2.5056	94.9126	163.2802
5088.5	2.5564	93.6768	163.3935
5089	2.5427	94.6461	164.759
5089.5	2.5496	94.2312	164.8013
5090	2.5859	94.8343	166.7597
5090.5	2.5674	94.9323	167.5559
5091	2.5702	94.6682	168.8314
5091.5	2.5654	95.2993	170.3257
5092	2.5383	96.4905	167.0198
5092.5	2.4983	95.301	166.0499
5093	2.5472	94.1262	165.8424
5093.5	2.5488	93.6161	165.1721
5094	2.5072	94.4289	166.156
5094.5	2.6036	94.7093	163.3006
5095	2.5655	94.6983	165.3031
5095.5	2.533	95.6646	167.3057
5096	2.5196	95.4704	161.8341
5096.5	2.5382	95.572	164.6709
5097	2.5181	95.1182	165.4931
5097.5	2.5474	94.9689	167.4374
5098	2.5745	95.2652	166.6562
5098.5	2.5471	93.8519	164.4143
5099	2.5876	94.2794	162.9267
5099.5	2.5416	95.103	166.4783
5100	2.5436	94.8195	164.107
5100.5	2.5516	95.5201	164.5369
5101	2.5393	95.7297	163.8627
5101.5	2.5505	95.7289	166.498
5102	2.562	95.8711	168.0198
5102.5	2.4904	95.332	166.7206
5103	2.553	95.688	165.41
5103.5	2.5659	95.3667	164.9924
5104	2.5455	94.9661	165.7667
5104.5	2.5489	96.3498	165.3837
5105	2.5456	96.3875	163.6159
5105.5	2.53	96.5801	165.5758
5106	2.509	95.3939	167.0657
5106.5	2.5086	94.3867	161.6349
5107	2.5194	95.195	162.963
5107.5	2.541	94.7131	166.8403
5108	2.5432	94.2284	162.9178
5108.5	2.5749	93.9794	162.4608
5109	2.5702	92.7196	161.7342
5109.5	2.5729	92.3112	160.5116
5110	2.5343	91.2079	157.513
5110.5	2.6259	91.3648	157.1669
5111	2.5889	90.2891	156.1203
5111.5	2.563	90.2293	153.9785
5112	2.5439	90.3914	154.4669
5112.5	2.5717	89.4622	154.0999
5113	2.5809	89.5283	151.9923
5113.5	2.5848	89.9648	153.6582
5114	2.5605	90.4122	155.4703
5114.5	2.6077	90.6867	155.963
5115	2.5856	90.7608	156.6938
5115.5	2.5821	91.0772	157.3378
5116	2.5549	90.1067	155.2548
5116.5	2.5999	90.5671	156.8894
5117	2.5897	89.6795	155.0103
5117.5	2.558	88.5735	153.4388
5118	2.5697	70.1142	197.931
5118.5	2.6244	73.368	190.8738
5119	2.5829	74.6804	211.5911
5119.5	2.5775	77.0577	201.8549
5120	2.4749	76.4228	185.2123
5120.5	2.5919	75.5134	183.7306
5121	2.5165	74.0066	182.2489
5121.5	2.535	72.3434	199.0093
5122	2.571	71.5966	217.4849
5122.5	2.6213	70.4934	201.4709
5123	2.5221	72.2526	211.7664
5123.5	2.4899	73.6205	205.6454
5124	2.5551	73.7436	201.3676
5124.5	2.5047	73.5426	201.7469
5125	2.5009	74.7917	190.1402
5125.5	2.5025	74.2789	206.6456
5126	2.5381	74.6966	190.5241
5126.5	2.5155	75.0364	195.6274
5127	2.4734	75.5757	188.4308
5127.5	2.4578	75.3631	184.1604
5128	2.5603	74.9393	188.3647
5128.5	2.5394	76.0821	201.5013
5129	2.5548	72.6029	205.3385
