depthft	density_gcc	s_v	hydrostatic_pres	porosity1	porosity2	eff_v_stress
5087	2.186	26.395	15.195	0.272	0.302	11.2
5088	2.178	26.401	15.198	0.272	0.307	11.203
5089	2.166	26.408	15.201	0.272	0.314	11.207
5090	2.158	26.414	15.204	0.272	0.319	11.21
5091	2.184	26.421	15.207	0.272	0.304	11.214
5092	2.198	26.427	15.21	0.272	0.295	11.217
5093	2.17	26.434	15.213	0.272	0.312	11.221
5094	2.2	26.44	15.216	0.272	0.294	11.224
5095	2.198	26.447	15.219	0.272	0.295	11.228
5096	2.182	26.454	15.222	0.272	0.305	11.232
5097	2.192	26.46	15.225	0.272	0.299	11.235
5098	2.21	26.467	15.228	0.272	0.288	11.239
5099	2.25	26.473	15.231	0.271	0.265	11.242
5100	2.243	26.48	15.234	0.271	0.269	11.246
5101	2.256	26.487	15.237	0.271	0.261	11.25
5102	2.276	26.494	15.24	0.271	0.249	11.254
5103	2.282	26.5	15.243	0.271	0.246	11.258
5104	2.236	26.507	15.246	0.271	0.273	11.261
5105	2.25	26.514	15.249	0.271	0.265	11.265
5106	2.232	26.521	15.252	0.271	0.275	11.269
5107	2.252	26.527	15.255	0.271	0.264	11.272
5108	2.27	26.534	15.258	0.271	0.253	11.276
5109	2.236	26.541	15.261	0.271	0.273	11.28
5110	2.218	26.547	15.264	0.271	0.284	11.284
5111	2.214	26.554	15.267	0.271	0.286	11.287
5112	2.239	26.561	15.27	0.271	0.271	11.291
5113	2.266	26.567	15.273	0.271	0.255	11.295
5114	2.242	26.574	15.276	0.271	0.269	11.298
5115	2.254	26.581	15.279	0.271	0.262	11.302
5116	2.242	26.588	15.282	0.271	0.269	11.306
5117	2.27	26.594	15.285	0.271	0.253	11.31
5118	2.239	26.601	15.288	0.271	0.271	11.313
5119	2.23	26.608	15.291	0.271	0.276	11.317
5120	2.226	26.614	15.294	0.271	0.279	11.321
5121	2.226	26.621	15.297	0.271	0.279	11.324
5122	2.258	26.628	15.3	0.271	0.26	11.328
5123	2.286	26.635	15.303	0.271	0.244	11.332
5124	2.29	26.641	15.306	0.271	0.241	11.336
5125	2.256	26.648	15.309	0.271	0.261	11.34
5126	2.234	26.655	15.312	0.271	0.274	11.343
5127	2.246	26.662	15.315	0.271	0.267	11.347
5128	2.208	26.668	15.318	0.271	0.289	11.351
5129	2.198	26.675	15.321	0.271	0.295	11.354
5130	2.175	26.681	15.324	0.271	0.309	11.358
5131	2.194	26.688	15.327	0.27	0.298	11.361
5132	2.184	26.694	15.329	0.27	0.304	11.365
5133	2.172	26.701	15.332	0.27	0.311	11.368
5134	2.162	26.707	15.335	0.27	0.316	11.372
5135	2.164	26.714	15.338	0.27	0.315	11.375
5136	2.158	26.72	15.341	0.27	0.319	11.379
5137	2.135	26.726	15.344	0.27	0.332	11.382
5138	2.15	26.733	15.347	0.27	0.324	11.385
5139	2.158	26.739	15.35	0.27	0.319	11.389
5140	2.166	26.746	15.353	0.27	0.314	11.392
5141	2.146	26.752	15.356	0.27	0.326	11.396
5142	2.148	26.759	15.359	0.27	0.325	11.399
5143	2.138	26.765	15.362	0.27	0.331	11.403
5144	2.135	26.771	15.365	0.27	0.332	11.406
5145	2.14	26.778	15.368	0.27	0.329	11.409
5146	2.172	26.784	15.371	0.27	0.311	11.413
5147	2.162	26.791	15.374	0.27	0.316	11.416
5148	2.17	26.797	15.377	0.27	0.312	11.42
5149	2.19	26.804	15.38	0.27	0.3	11.423
5150	2.162	26.81	15.383	0.27	0.316	11.427
5151	2.17	26.817	15.386	0.27	0.312	11.43
5152	2.172	26.823	15.389	0.27	0.311	11.434
5153	2.204	26.83	15.392	0.27	0.292	11.438
5154	2.196	26.836	15.395	0.27	0.296	11.441
5155	2.172	26.843	15.398	0.27	0.311	11.445
5156	2.178	26.849	15.401	0.27	0.307	11.448
5157	2.186	26.856	15.404	0.27	0.302	11.452
5158	2.146	26.862	15.407	0.27	0.326	11.455
5159	2.15	26.869	15.41	0.27	0.324	11.459
5160	2.134	26.875	15.413	0.27	0.333	11.462
5161	2.154	26.881	15.416	0.27	0.321	11.465
5162	2.154	26.888	15.419	0.27	0.321	11.469
5163	2.156	26.894	15.422	0.27	0.32	11.472
5164	2.164	26.901	15.425	0.27	0.315	11.476
5165	2.127	26.907	15.428	0.269	0.337	11.479
5166	2.166	26.914	15.431	0.269	0.314	11.483
5167	2.186	26.92	15.434	0.269	0.302	11.486
5168	2.174	26.927	15.437	0.269	0.309	11.49
5169	2.194	26.933	15.44	0.269	0.298	11.493
5170	2.208	26.94	15.443	0.269	0.289	11.497
5171	2.246	26.947	15.446	0.269	0.267	11.501
5172	2.274	26.953	15.449	0.269	0.251	11.504
5173	2.246	26.96	15.452	0.269	0.267	11.508
5174	2.226	26.967	15.455	0.269	0.279	11.512
5175	2.17	26.973	15.458	0.269	0.312	11.515
5176	2.167	26.98	15.461	0.269	0.314	11.519
5177	2.19	26.986	15.464	0.269	0.3	11.522
5178	2.204	26.993	15.467	0.269	0.292	11.526
5179	2.222	26.999	15.47	0.269	0.281	11.53
5180	2.222	27.006	15.473	0.269	0.281	11.533
5181	2.262	27.013	15.476	0.269	0.258	11.537
5182	2.256	27.02	15.479	0.269	0.261	11.541
5183	2.228	27.026	15.482	0.269	0.278	11.544
5184	2.254	27.033	15.485	0.269	0.262	11.548
5185	2.254	27.04	15.488	0.269	0.262	11.552
5186	2.29	27.047	15.491	0.269	0.241	11.556
5187	2.328	27.053	15.494	0.269	0.219	11.56
5188	2.342	27.06	15.497	0.269	0.211	11.564
5189	2.283	27.067	15.5	0.269	0.245	11.568
5190	2.23	27.074	15.503	0.269	0.276	11.571
5191	2.23	27.081	15.506	0.269	0.276	11.575
5192	2.132	27.087	15.509	0.269	0.334	11.578
5193	2.116	27.093	15.512	0.269	0.344	11.582
5194	2.114	27.1	15.515	0.269	0.345	11.585
5195	2.238	27.106	15.518	0.269	0.272	11.589
5196	2.239	27.113	15.521	0.269	0.271	11.592
5197	2.244	27.12	15.524	0.269	0.268	11.596
5198	2.244	27.126	15.527	0.268	0.268	11.6
5199	2.22	27.133	15.53	0.268	0.282	11.603
5200	2.186	27.14	15.533	0.268	0.302	11.607
5201	2.164	27.146	15.536	0.268	0.315	11.61
5202	2.09	27.152	15.539	0.268	0.359	11.614
5203	2.102	27.159	15.542	0.268	0.352	11.617
5204	2.118	27.165	15.545	0.268	0.342	11.62
5205	2.126	27.171	15.548	0.268	0.338	11.624
5206	2.127	27.178	15.551	0.268	0.337	11.627
5207	2.158	27.184	15.554	0.268	0.319	11.63
5208	2.162	27.19	15.557	0.268	0.316	11.634
5209	2.15	27.197	15.559	0.268	0.324	11.637
5210	2.136	27.203	15.562	0.268	0.332	11.641
5211	2.13	27.21	15.565	0.268	0.335	11.644
5212	2.14	27.216	15.568	0.268	0.329	11.648
5213	2.148	27.222	15.571	0.268	0.325	11.651
5214	2.15	27.229	15.574	0.268	0.324	11.654
5215	2.146	27.235	15.577	0.268	0.326	11.658
5216	2.142	27.242	15.58	0.268	0.328	11.661
5217	2.142	27.248	15.583	0.268	0.328	11.665
5218	2.098	27.254	15.586	0.268	0.354	11.668
5219	2.108	27.261	15.589	0.268	0.348	11.671
5220	2.124	27.267	15.592	0.268	0.339	11.675
5221	2.166	27.273	15.595	0.268	0.314	11.678
5222	2.142	27.28	15.598	0.268	0.328	11.682
5223	2.146	27.286	15.601	0.268	0.326	11.685
5224	2.132	27.293	15.604	0.268	0.334	11.688
5225	2.106	27.299	15.607	0.268	0.349	11.692
5226	2.1	27.305	15.61	0.268	0.353	11.695
5227	2.122	27.312	15.613	0.268	0.34	11.698
5228	2.11	27.318	15.616	0.268	0.347	11.702
5229	2.108	27.324	15.619	0.268	0.348	11.705
5230	2.132	27.33	15.622	0.268	0.334	11.708
5231	2.12	27.337	15.625	0.268	0.341	11.712
5232	2.108	27.343	15.628	0.268	0.348	11.715
5233	2.106	27.349	15.631	0.267	0.349	11.718
5234	2.102	27.356	15.634	0.267	0.352	11.722
5235	2.074	27.362	15.637	0.267	0.368	11.725
5236	2.098	27.368	15.64	0.267	0.354	11.728
5237	2.122	27.374	15.643	0.267	0.34	11.731
5238	2.124	27.381	15.646	0.267	0.339	11.735
5239	2.126	27.387	15.649	0.267	0.338	11.738
5240	2.174	27.394	15.652	0.267	0.309	11.742
5241	2.236	27.4	15.655	0.267	0.273	11.745
5242	2.246	27.407	15.658	0.267	0.267	11.749
5243	2.258	27.414	15.661	0.267	0.26	11.753
5244	2.223	27.42	15.664	0.267	0.281	11.756
5245	2.178	27.427	15.667	0.267	0.307	11.76
5246	2.146	27.433	15.67	0.267	0.326	11.763
5247	2.14	27.44	15.673	0.267	0.329	11.767
5248	2.178	27.446	15.676	0.267	0.307	11.77
5249	2.246	27.453	15.679	0.267	0.267	11.774
5250	2.274	27.46	15.682	0.267	0.251	11.778
5251	2.244	27.466	15.685	0.267	0.268	11.782
5252	2.235	27.473	15.688	0.267	0.274	11.785
5253	2.262	27.48	15.691	0.267	0.258	11.789
5254	2.247	27.487	15.694	0.267	0.266	11.793
5255	2.242	27.493	15.697	0.267	0.269	11.796
5256	2.254	27.5	15.7	0.267	0.262	11.8
5257	2.263	27.507	15.703	0.267	0.257	11.804
5258	2.282	27.514	15.706	0.267	0.246	11.808
5259	2.234	27.52	15.709	0.267	0.274	11.811
5260	2.238	27.527	15.712	0.267	0.272	11.815
5261	2.251	27.534	15.715	0.267	0.264	11.819
5262	2.268	27.54	15.718	0.267	0.254	11.823
5263	2.306	27.547	15.721	0.267	0.232	11.827
5264	2.316	27.554	15.724	0.267	0.226	11.83
5265	2.27	27.561	15.727	0.267	0.253	11.834
5266	2.246	27.568	15.73	0.266	0.267	11.838
5267	2.17	27.574	15.733	0.266	0.312	11.842
5268	2.15	27.581	15.736	0.266	0.324	11.845
5269	2.122	27.587	15.739	0.266	0.34	11.848
5270	2.094	27.593	15.742	0.266	0.356	11.852
5271	2.09	27.6	15.745	0.266	0.359	11.855
5272	2.164	27.606	15.748	0.266	0.315	11.858
5273	2.204	27.613	15.751	0.266	0.292	11.862
5274	2.206	27.619	15.754	0.266	0.291	11.865
5275	2.198	27.626	15.757	0.266	0.295	11.869
5276	2.204	27.632	15.76	0.266	0.292	11.873
5277	2.208	27.639	15.763	0.266	0.289	11.876
5278	2.208	27.645	15.766	0.266	0.289	11.88
5279	2.188	27.652	15.769	0.266	0.301	11.883
5280	2.204	27.659	15.772	0.266	0.292	11.887
5281	2.214	27.665	15.775	0.266	0.286	11.891
5282	2.196	27.672	15.778	0.266	0.296	11.894
5283	2.186	27.678	15.781	0.266	0.302	11.898
5284	2.158	27.685	15.784	0.266	0.319	11.901
5285	2.158	27.691	15.787	0.266	0.319	11.905
5286	2.146	27.698	15.789	0.266	0.326	11.908
5287	2.204	27.704	15.792	0.266	0.292	11.912
5288	2.215	27.711	15.795	0.266	0.285	11.915
5289	2.168	27.717	15.798	0.266	0.313	11.919
5290	2.164	27.724	15.801	0.266	0.315	11.922
5291	2.114	27.73	15.804	0.266	0.345	11.926
5292	2.134	27.736	15.807	0.266	0.333	11.929
5293	2.192	27.743	15.81	0.266	0.299	11.933
5294	2.155	27.749	15.813	0.266	0.321	11.936
5295	2.12	27.756	15.816	0.266	0.341	11.939
5296	2.11	27.762	15.819	0.266	0.347	11.943
5297	2.186	27.769	15.822	0.266	0.302	11.946
5298	2.196	27.775	15.825	0.266	0.296	11.95
5299	2.224	27.782	15.828	0.266	0.28	11.953
5300	2.236	27.788	15.831	0.265	0.273	11.957
5301	2.234	27.795	15.834	0.265	0.274	11.961
5302	2.198	27.802	15.837	0.265	0.295	11.964
5303	2.164	27.808	15.84	0.265	0.315	11.968
5304	2.16	27.815	15.843	0.265	0.318	11.971
5305	2.15	27.821	15.846	0.265	0.324	11.975
5306	2.186	27.828	15.849	0.265	0.302	11.978
5307	2.19	27.834	15.852	0.265	0.3	11.982
5308	2.204	27.841	15.855	0.265	0.292	11.985
5309	2.192	27.847	15.858	0.265	0.299	11.989
5310	2.172	27.854	15.861	0.265	0.311	11.993
5311	2.186	27.86	15.864	0.265	0.302	11.996
5312	2.214	27.867	15.867	0.265	0.286	12.0
5313	2.228	27.874	15.87	0.265	0.278	12.003
5314	2.21	27.88	15.873	0.265	0.288	12.007
5315	2.178	27.887	15.876	0.265	0.307	12.011
5316	2.17	27.893	15.879	0.265	0.312	12.014
5317	2.178	27.9	15.882	0.265	0.307	12.018
5318	2.214	27.906	15.885	0.265	0.286	12.021
5319	2.195	27.913	15.888	0.265	0.297	12.025
5320	2.238	27.919	15.891	0.265	0.272	12.028
5321	2.26	27.926	15.894	0.265	0.259	12.032
5322	2.252	27.933	15.897	0.265	0.264	12.036
5323	2.26	27.94	15.9	0.265	0.259	12.04
5324	2.247	27.946	15.903	0.265	0.266	12.043
5325	2.258	27.953	15.906	0.265	0.26	12.047
5326	2.246	27.96	15.909	0.265	0.267	12.051
5327	2.215	27.966	15.912	0.265	0.285	12.055
5328	2.232	27.973	15.915	0.265	0.275	12.058
5329	2.178	27.98	15.918	0.265	0.307	12.062
5330	2.168	27.986	15.921	0.265	0.313	12.065
5331	2.186	27.993	15.924	0.265	0.302	12.069
5332	2.159	27.999	15.927	0.265	0.318	12.072
5333	2.119	28.005	15.93	0.265	0.342	12.076
5334	2.122	28.012	15.933	0.264	0.34	12.079
5335	2.122	28.018	15.936	0.264	0.34	12.082
5336	2.14	28.025	15.939	0.264	0.329	12.086
5337	2.146	28.031	15.942	0.264	0.326	12.089
5338	2.146	28.037	15.945	0.264	0.326	12.093
5339	2.166	28.044	15.948	0.264	0.314	12.096
5340	2.146	28.05	15.951	0.264	0.326	12.099
5341	2.138	28.057	15.954	0.264	0.331	12.103
5342	2.138	28.063	15.957	0.264	0.331	12.106
5343	2.166	28.069	15.96	0.264	0.314	12.11
5344	2.174	28.076	15.963	0.264	0.309	12.113
5345	2.186	28.082	15.966	0.264	0.302	12.117
5346	2.2	28.089	15.969	0.264	0.294	12.12
5347	2.234	28.096	15.972	0.264	0.274	12.124
5348	2.276	28.103	15.975	0.264	0.249	12.128
5349	2.302	28.109	15.978	0.264	0.234	12.132
5350	2.292	28.116	15.981	0.264	0.24	12.136
5351	2.286	28.123	15.984	0.264	0.244	12.139
5352	2.28	28.13	15.987	0.264	0.247	12.143
5353	2.254	28.137	15.99	0.264	0.262	12.147
5354	2.226	28.143	15.993	0.264	0.279	12.151
5355	2.18	28.15	15.996	0.264	0.306	12.154
5356	2.172	28.156	15.999	0.264	0.311	12.158
5357	2.154	28.163	16.002	0.264	0.321	12.161
5358	2.15	28.169	16.005	0.264	0.324	12.165
5359	2.116	28.175	16.008	0.264	0.344	12.168
5360	2.128	28.182	16.011	0.264	0.336	12.171
5361	2.152	28.188	16.014	0.264	0.322	12.175
5362	2.122	28.195	16.017	0.264	0.34	12.178
5363	2.102	28.201	16.019	0.264	0.352	12.181
5364	2.086	28.207	16.022	0.264	0.361	12.185
5365	2.108	28.213	16.025	0.264	0.348	12.188
5366	2.072	28.22	16.028	0.264	0.369	12.191
5367	2.068	28.226	16.031	0.264	0.372	12.194
5368	2.079	28.232	16.034	0.264	0.365	12.198
5369	2.104	28.238	16.037	0.263	0.351	12.201
5370	2.124	28.245	16.04	0.263	0.339	12.204
5371	2.132	28.251	16.043	0.263	0.334	12.208
5372	2.11	28.257	16.046	0.263	0.347	12.211
5373	2.1	28.264	16.049	0.263	0.353	12.214
5374	2.108	28.27	16.052	0.263	0.348	12.217
5375	2.108	28.276	16.055	0.263	0.348	12.221
5376	2.09	28.282	16.058	0.263	0.359	12.224
5377	2.102	28.289	16.061	0.263	0.352	12.227
5378	2.066	28.295	16.064	0.263	0.373	12.231
5379	2.046	28.301	16.067	0.263	0.385	12.234
5380	2.038	28.307	16.07	0.263	0.389	12.237
5381	2.068	28.313	16.073	0.263	0.372	12.24
5382	2.096	28.319	16.076	0.263	0.355	12.243
5383	2.082	28.326	16.079	0.263	0.364	12.246
5384	2.066	28.332	16.082	0.263	0.373	12.25
5385	2.102	28.338	16.085	0.263	0.352	12.253
5386	2.106	28.344	16.088	0.263	0.349	12.256
5387	2.106	28.351	16.091	0.263	0.349	12.26
5388	2.076	28.357	16.094	0.263	0.367	12.263
5389	2.098	28.363	16.097	0.263	0.354	12.266
5390	2.166	28.37	16.1	0.263	0.314	12.269
5391	2.171	28.376	16.103	0.263	0.311	12.273
5392	2.198	28.383	16.106	0.263	0.295	12.277
5393	2.234	28.389	16.109	0.263	0.274	12.28
5394	2.25	28.396	16.112	0.263	0.265	12.284
5395	2.196	28.403	16.115	0.263	0.296	12.288
5396	2.132	28.409	16.118	0.263	0.334	12.291
5397	2.142	28.415	16.121	0.263	0.328	12.294
5398	2.159	28.422	16.124	0.263	0.318	12.298
5399	2.16	28.428	16.127	0.263	0.318	12.301
5400	2.142	28.435	16.13	0.263	0.328	12.305
5401	2.114	28.441	16.133	0.263	0.345	12.308
5402	2.05	28.447	16.136	0.263	0.382	12.311
5403	2.044	28.453	16.139	0.263	0.386	12.314
5404	2.103	28.46	16.142	0.263	0.351	12.318
5405	2.118	28.466	16.145	0.262	0.342	12.321
5406	2.114	28.472	16.148	0.262	0.345	12.324
5407	2.115	28.478	16.151	0.262	0.344	12.328
5408	2.1	28.485	16.154	0.262	0.353	12.331
5409	2.1	28.491	16.157	0.262	0.353	12.334
5410	2.092	28.497	16.16	0.262	0.358	12.337
5411	2.118	28.504	16.163	0.262	0.342	12.341
5412	2.154	28.51	16.166	0.262	0.321	12.344
5413	2.11	28.516	16.169	0.262	0.347	12.347
5414	2.094	28.523	16.172	0.262	0.356	12.351
5415	2.094	28.529	16.175	0.262	0.356	12.354
5416	2.098	28.535	16.178	0.262	0.354	12.357
5417	2.082	28.541	16.181	0.262	0.364	12.361
5418	2.088	28.548	16.184	0.262	0.36	12.364
5419	2.188	28.554	16.187	0.262	0.301	12.367
5420	2.292	28.561	16.19	0.262	0.24	12.371
5421	2.308	28.568	16.193	0.262	0.231	12.375
5422	2.286	28.575	16.196	0.262	0.244	12.379
5423	2.308	28.582	16.199	0.262	0.231	12.383
5424	2.306	28.588	16.202	0.262	0.232	12.387
5425	2.264	28.595	16.205	0.262	0.256	12.391
5426	2.278	28.602	16.208	0.262	0.248	12.394
5427	2.234	28.609	16.211	0.262	0.274	12.398
5428	2.222	28.615	16.214	0.262	0.281	12.402
5429	2.22	28.622	16.217	0.262	0.282	12.405
5430	2.226	28.629	16.22	0.262	0.279	12.409
5431	2.204	28.635	16.223	0.262	0.292	12.413
5432	2.159	28.642	16.226	0.262	0.318	12.416
5433	2.182	28.648	16.229	0.262	0.305	12.42
5434	2.248	28.655	16.232	0.262	0.266	12.423
5435	2.234	28.662	16.235	0.262	0.274	12.427
5436	2.178	28.668	16.238	0.262	0.307	12.431
5437	2.082	28.674	16.241	0.262	0.364	12.434
5438	2.034	28.68	16.244	0.262	0.392	12.437
5439	1.966	28.686	16.247	0.262	0.432	12.44
5440	1.938	28.692	16.249	0.261	0.448	12.443
5441	2.06	28.698	16.252	0.261	0.376	12.446
5442	2.088	28.704	16.255	0.261	0.36	12.449
5443	2.098	28.711	16.258	0.261	0.354	12.452
5444	2.095	28.717	16.261	0.261	0.356	12.455
5445	2.054	28.723	16.264	0.261	0.38	12.459
5446	2.06	28.729	16.267	0.261	0.376	12.462
5447	2.09	28.735	16.27	0.261	0.359	12.465
5448	2.106	28.742	16.273	0.261	0.349	12.468
5449	2.175	28.748	16.276	0.261	0.309	12.472
5450	2.17	28.755	16.279	0.261	0.312	12.475
5451	2.15	28.761	16.282	0.261	0.324	12.479
5452	2.178	28.768	16.285	0.261	0.307	12.482
5453	2.228	28.774	16.288	0.261	0.278	12.486
5454	2.274	28.781	16.291	0.261	0.251	12.49
5455	2.178	28.788	16.294	0.261	0.307	12.493
5456	2.198	28.794	16.297	0.261	0.295	12.497
5457	2.224	28.801	16.3	0.261	0.28	12.501
5458	2.19	28.807	16.303	0.261	0.3	12.504
5459	2.202	28.814	16.306	0.261	0.293	12.508
5460	2.178	28.82	16.309	0.261	0.307	12.511
5461	2.172	28.827	16.312	0.261	0.311	12.515
5462	2.19	28.833	16.315	0.261	0.3	12.518
5463	2.188	28.84	16.318	0.261	0.301	12.522
5464	2.162	28.846	16.321	0.261	0.316	12.525
5465	2.098	28.853	16.324	0.261	0.354	12.529
5466	2.132	28.859	16.327	0.261	0.334	12.532
5467	2.102	28.865	16.33	0.261	0.352	12.535
5468	2.086	28.872	16.333	0.261	0.361	12.538
5469	2.055	28.878	16.336	0.261	0.379	12.542
5470	2.092	28.884	16.339	0.261	0.358	12.545
5471	2.154	28.89	16.342	0.261	0.321	12.548
5472	2.146	28.897	16.345	0.261	0.326	12.552
5473	2.126	28.903	16.348	0.261	0.338	12.555
5474	2.12	28.91	16.351	0.261	0.341	12.558
5475	2.166	28.916	16.354	0.261	0.314	12.562
5476	2.226	28.923	16.357	0.26	0.279	12.566
5477	2.244	28.929	16.36	0.26	0.268	12.569
5478	2.238	28.936	16.363	0.26	0.272	12.573
5479	2.23	28.943	16.366	0.26	0.276	12.577
5480	2.202	28.949	16.369	0.26	0.293	12.58
5481	2.186	28.956	16.372	0.26	0.302	12.584
5482	2.19	28.962	16.375	0.26	0.3	12.587
5483	2.146	28.969	16.378	0.26	0.326	12.591
5484	2.11	28.975	16.381	0.26	0.347	12.594
5485	2.15	28.981	16.384	0.26	0.324	12.598
5486	2.21	28.988	16.387	0.26	0.288	12.601
5487	2.192	28.995	16.39	0.26	0.299	12.605
5488	2.123	29.001	16.393	0.26	0.339	12.608
5489	2.162	29.007	16.396	0.26	0.316	12.612
5490	2.16	29.014	16.399	0.26	0.318	12.615
5491	2.09	29.02	16.402	0.26	0.359	12.618
5492	2.104	29.026	16.405	0.26	0.351	12.622
5493	2.124	29.033	16.408	0.26	0.339	12.625
5494	2.094	29.039	16.411	0.26	0.356	12.628
5495	2.106	29.045	16.414	0.26	0.349	12.632
5496	2.104	29.052	16.417	0.26	0.351	12.635
5497	2.082	29.058	16.42	0.26	0.364	12.638
5498	2.086	29.064	16.423	0.26	0.361	12.641
5499	2.086	29.07	16.426	0.26	0.361	12.645
5500	2.068	29.076	16.429	0.26	0.372	12.648
5501	2.098	29.083	16.432	0.26	0.354	12.651
5502	2.074	29.089	16.435	0.26	0.368	12.654
5503	2.114	29.095	16.438	0.26	0.345	12.658
5504	2.106	29.102	16.441	0.26	0.349	12.661
5505	2.09	29.108	16.444	0.26	0.359	12.664
5506	2.103	29.114	16.447	0.26	0.351	12.667
5507	2.106	29.12	16.45	0.26	0.349	12.671
5508	2.122	29.127	16.453	0.26	0.34	12.674
5509	2.11	29.133	16.456	0.26	0.347	12.677
5510	2.156	29.139	16.459	0.26	0.32	12.681
5511	2.21	29.146	16.462	0.26	0.288	12.684
5512	2.154	29.152	16.465	0.259	0.321	12.688
5513	2.11	29.159	16.468	0.259	0.347	12.691
5514	2.092	29.165	16.471	0.259	0.358	12.694
5515	2.07	29.171	16.474	0.259	0.371	12.698
5516	2.11	29.177	16.477	0.259	0.347	12.701
5517	2.11	29.184	16.479	0.259	0.347	12.704
5518	2.134	29.19	16.482	0.259	0.333	12.708
5519	2.11	29.196	16.485	0.259	0.347	12.711
5520	2.146	29.203	16.488	0.259	0.326	12.714
5521	2.17	29.209	16.491	0.259	0.312	12.718
5522	2.162	29.216	16.494	0.259	0.316	12.721
5523	2.172	29.222	16.497	0.259	0.311	12.725
5524	2.198	29.229	16.5	0.259	0.295	12.728
5525	2.178	29.235	16.503	0.259	0.307	12.732
5526	2.124	29.242	16.506	0.259	0.339	12.735
5527	2.118	29.248	16.509	0.259	0.342	12.739
5528	2.14	29.254	16.512	0.259	0.329	12.742
5529	2.102	29.261	16.515	0.259	0.352	12.745
5530	2.106	29.267	16.518	0.259	0.349	12.749
5531	2.114	29.273	16.521	0.259	0.345	12.752
5532	2.13	29.28	16.524	0.259	0.335	12.755
5533	2.178	29.286	16.527	0.259	0.307	12.759
5534	2.186	29.293	16.53	0.259	0.302	12.762
5535	2.16	29.299	16.533	0.259	0.318	12.766
5536	2.172	29.306	16.536	0.259	0.311	12.769
5537	2.156	29.312	16.539	0.259	0.32	12.773
5538	2.138	29.318	16.542	0.259	0.331	12.776
5539	2.196	29.325	16.545	0.259	0.296	12.78
5540	2.218	29.332	16.548	0.259	0.284	12.783
5541	2.242	29.338	16.551	0.259	0.269	12.787
5542	2.218	29.345	16.554	0.259	0.284	12.791
5543	2.238	29.352	16.557	0.259	0.272	12.795
5544	2.236	29.358	16.56	0.259	0.273	12.798
5545	2.254	29.365	16.563	0.259	0.262	12.802
5546	2.298	29.372	16.566	0.259	0.236	12.806
5547	2.27	29.379	16.569	0.259	0.253	12.81
5548	2.246	29.385	16.572	0.258	0.267	12.813
5549	2.278	29.392	16.575	0.258	0.248	12.817
5550	2.274	29.399	16.578	0.258	0.251	12.821
5551	2.254	29.406	16.581	0.258	0.262	12.825
5552	2.17	29.412	16.584	0.258	0.312	12.828
5553	2.124	29.419	16.587	0.258	0.339	12.832
5554	2.146	29.425	16.59	0.258	0.326	12.835
5555	2.146	29.431	16.593	0.258	0.326	12.838
5556	2.126	29.438	16.596	0.258	0.338	12.842
5557	2.128	29.444	16.599	0.258	0.336	12.845
5558	2.118	29.45	16.602	0.258	0.342	12.848
5559	2.158	29.457	16.605	0.258	0.319	12.852
5560	2.223	29.464	16.608	0.258	0.281	12.856
5561	2.206	29.47	16.611	0.258	0.291	12.859
5562	2.188	29.477	16.614	0.258	0.301	12.863
5563	2.188	29.483	16.617	0.258	0.301	12.866
5564	2.192	29.49	16.62	0.258	0.299	12.87
5565	2.23	29.496	16.623	0.258	0.276	12.874
5566	2.222	29.503	16.626	0.258	0.281	12.877
5567	2.21	29.51	16.629	0.258	0.288	12.881
5568	2.228	29.516	16.632	0.258	0.278	12.884
5569	2.25	29.523	16.635	0.258	0.265	12.888
5570	2.234	29.53	16.638	0.258	0.274	12.892
5571	2.252	29.536	16.641	0.258	0.264	12.896
5572	2.276	29.543	16.644	0.258	0.249	12.899
5573	2.236	29.55	16.647	0.258	0.273	12.903
5574	2.158	29.556	16.65	0.258	0.319	12.907
5575	2.186	29.563	16.653	0.258	0.302	12.91
5576	2.188	29.569	16.656	0.258	0.301	12.914
5577	2.198	29.576	16.659	0.258	0.295	12.917
5578	2.21	29.583	16.662	0.258	0.288	12.921
5579	2.196	29.589	16.665	0.258	0.296	12.924
5580	2.174	29.596	16.668	0.258	0.309	12.928
5581	2.196	29.602	16.671	0.258	0.296	12.932
5582	2.21	29.609	16.674	0.257	0.288	12.935
5583	2.15	29.615	16.677	0.257	0.324	12.939
5584	2.166	29.622	16.68	0.257	0.314	12.942
5585	2.146	29.628	16.683	0.257	0.326	12.945
5586	2.16	29.635	16.686	0.257	0.318	12.949
5587	2.148	29.641	16.689	0.257	0.325	12.952
5588	2.098	29.647	16.692	0.257	0.354	12.956
5589	2.088	29.653	16.695	0.257	0.36	12.959
5590	2.102	29.66	16.698	0.257	0.352	12.962
5591	2.154	29.666	16.701	0.257	0.321	12.966
5592	2.136	29.673	16.704	0.257	0.332	12.969
5593	2.114	29.679	16.707	0.257	0.345	12.972
5594	2.106	29.685	16.71	0.257	0.349	12.976
5595	2.118	29.691	16.712	0.257	0.342	12.979
5596	2.134	29.698	16.715	0.257	0.333	12.982
5597	2.122	29.704	16.718	0.257	0.34	12.986
5598	2.12	29.711	16.721	0.257	0.341	12.989
5599	2.106	29.717	16.724	0.257	0.349	12.992
5600	2.114	29.723	16.727	0.257	0.345	12.996
5601	2.103	29.729	16.73	0.257	0.351	12.999
5602	2.092	29.736	16.733	0.257	0.358	13.002
