depthft	density_gcc	s_v	hydrostatic_pres	porosity1	porosity2	eff_v_stress
3631	2.206	16.879	10.846	0.32	0.291	6.033
3632	2.198	16.885	10.849	0.32	0.295	6.036
3633	2.228	16.892	10.852	0.32	0.278	6.04
3634	2.25	16.899	10.855	0.319	0.265	6.044
3635	2.258	16.906	10.858	0.319	0.26	6.048
3636	2.214	16.912	10.861	0.319	0.286	6.051
3637	2.242	16.919	10.864	0.319	0.269	6.055
3638	2.219	16.925	10.867	0.319	0.283	6.059
3639	2.202	16.932	10.87	0.319	0.293	6.062
3640	2.202	16.939	10.873	0.319	0.293	6.066
3641	2.18	16.945	10.876	0.319	0.306	6.069
3642	2.174	16.952	10.879	0.319	0.309	6.073
3643	2.162	16.958	10.882	0.319	0.316	6.076
3644	2.207	16.965	10.885	0.319	0.29	6.08
3645	2.232	16.971	10.888	0.319	0.275	6.084
3646	2.262	16.978	10.891	0.319	0.258	6.087
3647	2.292	16.985	10.894	0.319	0.24	6.091
3648	2.308	16.992	10.897	0.319	0.231	6.095
3649	2.294	16.999	10.9	0.319	0.239	6.099
3650	2.236	17.005	10.903	0.319	0.273	6.103
3651	2.206	17.012	10.906	0.319	0.291	6.106
3652	2.218	17.019	10.909	0.319	0.284	6.11
3653	2.191	17.025	10.912	0.319	0.299	6.113
3654	2.198	17.032	10.915	0.319	0.295	6.117
3655	2.202	17.038	10.918	0.319	0.293	6.121
3656	2.234	17.045	10.921	0.319	0.274	6.124
3657	2.268	17.052	10.924	0.319	0.254	6.128
3658	2.254	17.058	10.927	0.319	0.262	6.132
3659	2.154	17.065	10.93	0.319	0.321	6.135
3660	2.166	17.071	10.933	0.319	0.314	6.139
3661	2.166	17.078	10.936	0.318	0.314	6.142
3662	2.174	17.084	10.939	0.318	0.309	6.146
3663	2.164	17.091	10.942	0.318	0.315	6.149
3664	2.18	17.097	10.945	0.318	0.306	6.153
3665	2.172	17.104	10.948	0.318	0.311	6.156
3666	2.182	17.11	10.95	0.318	0.305	6.16
3667	2.202	17.117	10.953	0.318	0.293	6.163
3668	2.194	17.123	10.956	0.318	0.298	6.167
3669	2.166	17.13	10.959	0.318	0.314	6.17
3670	2.168	17.136	10.962	0.318	0.313	6.174
3671	2.136	17.143	10.965	0.318	0.332	6.177
3672	2.151	17.149	10.968	0.318	0.323	6.181
3673	2.136	17.156	10.971	0.318	0.332	6.184
3674	2.134	17.162	10.974	0.318	0.333	6.188
3675	2.14	17.168	10.977	0.318	0.329	6.191
3676	2.13	17.175	10.98	0.318	0.335	6.194
3677	2.106	17.181	10.983	0.318	0.349	6.198
3678	2.1	17.187	10.986	0.318	0.353	6.201
3679	2.114	17.194	10.989	0.318	0.345	6.204
3680	2.119	17.2	10.992	0.318	0.342	6.208
3681	2.11	17.206	10.995	0.318	0.347	6.211
3682	2.114	17.213	10.998	0.318	0.345	6.214
3683	2.11	17.219	11.001	0.318	0.347	6.218
3684	2.127	17.225	11.004	0.318	0.337	6.221
3685	2.158	17.232	11.007	0.318	0.319	6.224
3686	2.154	17.238	11.01	0.318	0.321	6.228
3687	2.122	17.244	11.013	0.318	0.34	6.231
3688	2.154	17.251	11.016	0.318	0.321	6.235
3689	2.154	17.257	11.019	0.318	0.321	6.238
3690	2.15	17.264	11.022	0.318	0.324	6.242
3691	2.126	17.27	11.025	0.317	0.338	6.245
3692	2.108	17.276	11.028	0.317	0.348	6.248
3693	2.104	17.283	11.031	0.317	0.351	6.251
3694	2.1	17.289	11.034	0.317	0.353	6.255
3695	2.103	17.295	11.037	0.317	0.351	6.258
3696	2.104	17.301	11.04	0.317	0.351	6.261
3697	2.104	17.308	11.043	0.317	0.351	6.265
3698	2.086	17.314	11.046	0.317	0.361	6.268
3699	2.082	17.32	11.049	0.317	0.364	6.271
3700	2.116	17.327	11.052	0.317	0.344	6.274
3701	2.132	17.333	11.055	0.317	0.334	6.278
3702	2.152	17.339	11.058	0.317	0.322	6.281
3703	2.124	17.346	11.061	0.317	0.339	6.285
3704	2.095	17.352	11.064	0.317	0.356	6.288
3705	2.086	17.358	11.067	0.317	0.361	6.291
3706	2.082	17.364	11.07	0.317	0.364	6.294
3707	2.066	17.371	11.073	0.317	0.373	6.298
3708	2.062	17.377	11.076	0.317	0.375	6.301
3709	2.07	17.383	11.079	0.317	0.371	6.304
3710	2.088	17.389	11.082	0.317	0.36	6.307
3711	2.078	17.395	11.085	0.317	0.366	6.31
3712	2.082	17.402	11.088	0.317	0.364	6.314
3713	2.082	17.408	11.091	0.317	0.364	6.317
3714	2.124	17.414	11.094	0.317	0.339	6.32
3715	2.138	17.42	11.097	0.317	0.331	6.324
3716	2.134	17.427	11.1	0.317	0.333	6.327
3717	2.086	17.433	11.103	0.317	0.361	6.33
3718	2.082	17.439	11.106	0.317	0.364	6.333
3719	2.078	17.446	11.109	0.317	0.366	6.337
3720	2.066	17.452	11.112	0.317	0.373	6.34
3721	2.042	17.458	11.115	0.316	0.387	6.343
3722	2.031	17.464	11.118	0.316	0.394	6.346
3723	2.046	17.47	11.121	0.316	0.385	6.349
3724	2.01	17.476	11.124	0.316	0.406	6.352
3725	2.06	17.482	11.127	0.316	0.376	6.355
3726	2.087	17.488	11.13	0.316	0.361	6.359
3727	2.084	17.495	11.133	0.316	0.362	6.362
3728	2.09	17.501	11.136	0.316	0.359	6.365
3729	2.092	17.507	11.139	0.316	0.358	6.368
3730	2.1	17.513	11.142	0.316	0.353	6.372
3731	2.074	17.52	11.145	0.316	0.368	6.375
3732	2.066	17.526	11.148	0.316	0.373	6.378
3733	2.052	17.532	11.151	0.316	0.381	6.381
3734	2.07	17.538	11.154	0.316	0.371	6.384
3735	2.058	17.544	11.157	0.316	0.378	6.388
3736	2.071	17.55	11.16	0.316	0.37	6.391
3737	2.074	17.557	11.163	0.316	0.368	6.394
3738	2.074	17.563	11.166	0.316	0.368	6.397
3739	2.086	17.569	11.169	0.316	0.361	6.4
3740	2.084	17.575	11.172	0.316	0.362	6.404
3741	2.058	17.581	11.175	0.316	0.378	6.407
3742	2.058	17.587	11.178	0.316	0.378	6.41
3743	2.02	17.594	11.18	0.316	0.4	6.413
3744	2.004	17.6	11.183	0.316	0.409	6.416
3745	2.03	17.606	11.186	0.316	0.394	6.419
3746	2.054	17.612	11.189	0.316	0.38	6.422
3747	2.094	17.618	11.192	0.316	0.356	6.426
3748	2.146	17.624	11.195	0.316	0.326	6.429
3749	2.14	17.631	11.198	0.316	0.329	6.432
3750	2.11	17.637	11.201	0.316	0.347	6.436
3751	2.066	17.643	11.204	0.316	0.373	6.439
3752	2.054	17.649	11.207	0.316	0.38	6.442
3753	2.022	17.655	11.21	0.315	0.399	6.445
3754	2.028	17.661	11.213	0.315	0.395	6.448
3755	2.04	17.668	11.216	0.315	0.388	6.451
3756	2.022	17.674	11.219	0.315	0.399	6.454
3757	2.014	17.68	11.222	0.315	0.404	6.457
3758	1.996	17.686	11.225	0.315	0.414	6.46
3759	1.956	17.691	11.228	0.315	0.438	6.463
3760	1.944	17.697	11.231	0.315	0.445	6.466
3761	1.972	17.703	11.234	0.315	0.428	6.469
3762	1.946	17.709	11.237	0.315	0.444	6.472
3763	1.938	17.715	11.24	0.315	0.448	6.475
3764	1.962	17.721	11.243	0.315	0.434	6.477
3765	1.967	17.726	11.246	0.315	0.431	6.48
3766	1.948	17.732	11.249	0.315	0.442	6.483
3767	1.94	17.738	11.252	0.315	0.447	6.486
3768	1.962	17.744	11.255	0.315	0.434	6.489
3769	1.98	17.75	11.258	0.315	0.424	6.492
3770	2.014	17.756	11.261	0.315	0.404	6.495
3771	2.052	17.762	11.264	0.315	0.381	6.498
3772	2.056	17.768	11.267	0.315	0.379	6.501
3773	2.042	17.774	11.27	0.315	0.387	6.504
3774	2.044	17.78	11.273	0.315	0.386	6.507
3775	2.052	17.786	11.276	0.315	0.381	6.51
3776	2.028	17.793	11.279	0.315	0.395	6.513
3777	2.055	17.799	11.282	0.315	0.379	6.517
3778	2.084	17.805	11.285	0.315	0.362	6.52
3779	2.102	17.811	11.288	0.315	0.352	6.523
3780	2.122	17.818	11.291	0.315	0.34	6.527
3781	2.172	17.824	11.294	0.315	0.311	6.53
3782	2.172	17.83	11.297	0.315	0.311	6.534
3783	2.166	17.837	11.3	0.315	0.314	6.537
3784	2.138	17.843	11.303	0.315	0.331	6.54
3785	2.134	17.85	11.306	0.315	0.333	6.544
3786	2.13	17.856	11.309	0.314	0.335	6.547
3787	2.114	17.862	11.312	0.314	0.345	6.55
3788	2.108	17.869	11.315	0.314	0.348	6.554
3789	2.076	17.875	11.318	0.314	0.367	6.557
3790	2.072	17.881	11.321	0.314	0.369	6.56
3791	2.09	17.887	11.324	0.314	0.359	6.563
3792	2.086	17.894	11.327	0.314	0.361	6.567
3793	2.108	17.9	11.33	0.314	0.348	6.57
3794	2.128	17.906	11.333	0.314	0.336	6.573
3795	2.146	17.913	11.336	0.314	0.326	6.577
3796	2.146	17.919	11.339	0.314	0.326	6.58
3797	2.116	17.925	11.342	0.314	0.344	6.584
3798	2.12	17.932	11.345	0.314	0.341	6.587
3799	2.118	17.938	11.348	0.314	0.342	6.59
3800	2.108	17.944	11.351	0.314	0.348	6.594
3801	2.118	17.951	11.354	0.314	0.342	6.597
3802	2.154	17.957	11.357	0.314	0.321	6.6
3803	2.168	17.964	11.36	0.314	0.313	6.604
3804	2.146	17.97	11.363	0.314	0.326	6.607
