MD ,TVD ,Devi ,Azimuth ,North ,East ,"Departur
e","Departur
e
Azimuth","Dogleg
Severity",,,,,,,,,,,,,
m ,m ,Deg ,Deg ,m ,m ,m ,Deg ,Deg/100f,,,,,,,,,,,,,
2617.3,2597.28,32.3,55.37,92.85,88.56,128.31,43.65,3.08,,,,,,,,,,,,,
2655.9,2629.3,35.58,54.59,105.22,106.21,149.51,45.27,2.59,,,,,,,,,,,,,
2673.9,2643.77,37.39,54.82,111.41,114.94,160.07,45.89,3.06,,,,,,,,,,,,,
2706.97,2669.61,39.85,55.29,123.23,131.86,180.48,46.94,2.27,,,,,,,,,,,,,
2747.16,2700.39,40.19,55.74,137.86,153.16,206.07,48.01,0.26,,,,,,,,,,,,,
2790.39,2733.57,39.56,54.98,153.61,175.97,233.58,48.88,0.44,,,,,,,,,,,,,
2830.75,2763.7,43.81,57.3,168.54,198.26,260.22,49.63,3.21,,,,,,,,,,,,,
2870.67,2791.15,49.28,59.12,183.78,222.89,288.89,50.49,4.18,,,,,,,,,,,,,
2911.52,2816.38,54.4,59.01,200.29,250.43,320.67,51.35,3.82,,,,,,,,,,,,,
2950.8,2837.63,60.08,58.76,217.35,278.7,353.43,52.05,4.41,,,,,,,,,,,,,
2991.49,2856.59,64.34,59.52,235.81,309.59,389.17,52.7,3.19,,,,,,,,,,,,,
3032.17,2873.41,66.85,65.62,252.85,342.46,425.69,53.56,1.88,,,,,,,,,,,,,
3072.79,2888.46,69.7,71.1,266.74,377.52,462.25,54.76,2.14,,,,,,,,,,,,,
3112.44,2901.5,71.9,73.97,277.97,413.24,498.03,56.07,1.69,,,,,,,,,,,,,
3153.53,2913.3,74.71,74.92,288.52,451.15,535.52,57.4,2.08,,,,,,,,,,,,,
3193.66,2922.86,77.75,78.46,297.48,489.07,572.44,58.69,2.31,,,,,,,,,,,,,
3233.21,2930.23,80.75,81.97,304.08,527.35,608.74,60.03,2.31,,,,,,,,,,,,,
3273.3,2936.57,81.08,85.25,308.48,566.68,645.2,61.44,0.25,,,,,,,,,,,,,
3314.97,2944.52,76.91,85.46,311.79,607.44,682.79,62.83,3.05,,,,,,,,,,,,,
3355.37,2955.36,71.94,85.7,314.79,646.23,718.82,64.03,3.75,,,,,,,,,,,,,
3395.93,2968.14,71.34,85.44,317.77,684.61,754.76,65.1,0.45,,,,,,,,,,,,,
3436.15,2982.12,67.98,86.53,320.41,722.23,790.11,66.08,2.55,,,,,,,,,,,,,
3476.5,2998.13,65.26,89.03,321.85,759.23,824.63,67.03,2.05,,,,,,,,,,,,,
3514.77,3015.17,61.86,89.99,322.15,793.49,856.39,67.9,2.71,,,,,,,,,,,,,
3555.95,3036.08,57.08,91.4,321.73,828.95,889.2,68.79,3.54,,,,,,,,,,,,,
3596.23,3059.53,51.69,92.76,320.56,861.66,919.36,69.59,4.08,,,,,,,,,,,,,
3638.07,3086.33,48.65,94.05,318.66,893.73,948.84,70.38,2.21,,,,,,,,,,,,,
3678.39,3112.69,49.69,93.65,316.61,924.16,976.89,71.09,0.79,,,,,,,,,,,,,
3718.84,3138.73,50.17,93.8,314.6,955.05,1005.53,71.77,0.36,,,,,,,,,,,,,
3729.86,3145.78,50.26,93.74,314.04,963.5,1013.39,71.95,0.25,,,,,,,,,,,,,
