MD ,TVD ,Devi ,Azimuth ,North ,East ,Departure ,"Departure
Azimuth","Dogleg
Severity"
m ,m ,Deg ,Deg ,m ,m ,m ,Deg ,Deg/100f
1513,1479.9,20.67,241.23,-20.16,-195.05,196.09,264.1,1.04
1523,1489.26,20.66,242.19,-21.83,-198.15,199.35,263.71,0.03
1533,1498.61,20.83,243.57,-23.44,-201.31,202.67,263.36,0.52
1543,1507.95,20.97,245.58,-24.97,-204.53,206.05,263.04,0.43
1553,1517.29,21.13,247.64,-26.4,-207.82,209.49,262.76,0.49
1563,1526.61,21.38,249.38,-27.73,-211.2,213.01,262.52,0.76
1573,1535.91,21.64,251.07,-28.97,-214.65,216.6,262.31,0.79
1583,1545.2,21.87,252.47,-30.13,-218.17,220.24,262.14,0.7
1593,1554.47,22.08,253.27,-31.23,-221.74,223.93,261.98,0.64
1603,1563.73,22.29,253.5,-32.31,-225.36,227.66,261.84,0.64
1613,1572.98,22.47,253.52,-33.39,-229.01,231.43,261.7,0.55
1623,1582.21,22.66,253.41,-34.48,-232.69,235.23,261.57,0.58
1633,1591.43,22.93,253.25,-35.59,-236.4,239.06,261.44,0.82
1643,1600.63,23.2,253.11,-36.73,-240.15,242.94,261.3,0.82
1653,1609.82,23.4,252.96,-37.88,-243.94,246.86,261.17,0.61
1663,1618.99,23.53,252.89,-39.05,-247.74,250.8,261.04,0.4
1673,1628.16,23.59,252.88,-40.23,-251.56,254.76,260.91,0.18
1683,1637.32,23.66,252.91,-41.41,-255.39,258.73,260.79,0.21
1693,1646.48,23.7,252.85,-42.59,-259.23,262.71,260.67,0.12
1703,1655.63,23.73,252.87,-43.77,-263.08,266.7,260.55,0.09
1713,1664.78,23.78,252.93,-44.96,-266.93,270.69,260.44,0.15
1723,1673.94,23.76,252.96,-46.14,-270.78,274.68,260.33,0.06
1733,1683.09,23.71,252.97,-47.32,-274.63,278.68,260.22,0.15
1743,1692.25,23.7,253.01,-48.49,-278.47,282.66,260.12,0.03
1753,1701.4,23.68,253.05,-49.67,-282.31,286.65,260.02,0.06
1763,1710.56,23.63,252.9,-50.84,-286.15,290.63,259.93,0.15
1773,1719.73,23.56,252.97,-52.02,-289.98,294.61,259.83,0.21
1783,1728.9,23.5,252.85,-53.19,-293.79,298.57,259.74,0.18
1793,1738.07,23.4,252.68,-54.37,-297.59,302.52,259.65,0.3
1803,1747.25,23.37,252.68,-55.55,-301.38,306.46,259.56,0.09
1813,1756.43,23.36,252.63,-56.73,-305.17,310.4,259.47,0.03
1823,1765.61,23.39,252.65,-57.92,-308.96,314.34,259.38,0.09
1833,1774.78,23.45,252.52,-59.11,-312.75,318.29,259.3,0.18
1843,1783.96,23.48,252.56,-60.3,-316.55,322.24,259.21,0.09
1853,1793.13,23.41,252.72,-61.49,-320.34,326.19,259.13,0.21
1863,1802.31,23.39,252.72,-62.67,-324.14,330.14,259.06,0.06
1873,1811.48,23.47,252.78,-63.85,-327.93,334.09,258.98,0.24
1883,1820.66,23.51,252.91,-65.02,-331.74,338.05,258.91,0.12
1893,1829.83,23.49,253.11,-66.19,-335.56,342.03,258.84,0.06
1903,1839,23.5,253.09,-67.35,-339.37,345.99,258.78,0.03
1913,1848.17,23.55,253.15,-68.51,-343.19,349.96,258.71,0.15
1923,1857.33,23.58,253.33,-69.66,-347.02,353.94,258.65,0.09
1933,1866.5,23.56,253.55,-70.8,-350.85,357.92,258.59,0.06
1943,1875.66,23.58,253.6,-71.93,-354.69,361.91,258.54,0.06
1953,1884.83,23.57,253.53,-73.06,-358.52,365.89,258.48,0.03
1963,1894.01,23.19,253.55,-74.18,-362.33,369.85,258.43,1.16
1973,1903.22,22.48,253.5,-75.29,-366.05,373.71,258.38,2.16
1983,1912.49,21.77,253.27,-76.36,-369.66,377.46,258.33,2.16
1993,1921.79,21.15,252.84,-77.43,-373.16,381.11,258.28,1.89
2003,1931.14,20.52,252.07,-78.5,-376.55,384.65,258.22,1.92
2013,1940.53,19.83,251.05,-79.59,-379.82,388.07,258.17,2.1
2023,1949.95,19.24,249.89,-80.71,-382.97,391.38,258.1,1.8
2033,1959.41,18.67,248.97,-81.85,-386.01,394.59,258.03,1.74
2043,1968.9,18.09,248.27,-83,-388.95,397.71,257.95,1.77
2053,1978.42,17.42,247.76,-84.14,-391.78,400.71,257.88,2.04
2063,1987.98,16.64,247.57,-85.25,-394.49,403.6,257.81,2.38
2073,1997.59,15.74,247.32,-86.32,-397.06,406.33,257.73,2.74
2083,2007.23,14.82,246.86,-87.35,-399.49,408.93,257.67,2.8
2093,2016.92,14.11,246.33,-88.34,-401.78,411.38,257.6,2.16
2103,2026.63,13.55,245.78,-89.31,-403.97,413.72,257.53,1.71
2113,2036.37,12.56,245.14,-90.25,-406.02,415.93,257.47,3.02
2123,2046.14,11.76,244.3,-91.15,-407.93,417.99,257.4,2.44
2133,2055.94,11.3,243.19,-92.03,-409.72,419.93,257.34,1.4
2143,2065.75,10.9,242,-92.92,-411.43,421.79,257.27,1.22
2153,2075.58,10.37,240.37,-93.8,-413.05,423.57,257.21,1.62
2163,2085.43,9.96,237.45,-94.71,-414.56,425.24,257.13,1.25
2173,2095.28,9.68,233.8,-95.68,-415.96,426.82,257.05,0.85
2183,2105.14,9.51,229.85,-96.71,-417.27,428.33,256.95,0.52
2193,2115.01,9.3,225.13,-97.81,-418.48,429.76,256.84,0.64
2203,2124.88,9.2,220.24,-98.99,-419.57,431.09,256.72,0.3
2213,2134.75,9.1,215.05,-100.25,-420.54,432.32,256.59,0.3
2223,2144.62,9.02,209.83,-101.57,-421.38,433.45,256.45,0.24
2233,2154.5,8.95,204.57,-102.96,-422.1,434.48,256.29,0.21
2243,2164.38,8.91,199.61,-104.4,-422.68,435.38,256.13,0.12
2253,2174.26,8.98,195.16,-105.88,-423.14,436.19,255.95,0.21
2263,2184.13,9.11,189.99,-107.41,-423.48,436.89,255.77,0.4
2273,2194.01,9.31,184.67,-109,-423.69,437.49,255.57,0.61
2283,2203.87,9.55,179.31,-110.64,-423.74,437.95,255.37,0.73
2293,2213.73,9.88,174.47,-112.32,-423.65,438.29,255.15,1.01
2303,2223.57,10.25,171.03,-114.05,-423.43,438.52,254.93,1.13
2313,2233.41,10.48,167.42,-115.82,-423.09,438.66,254.69,0.7
2323,2243.24,10.69,163.89,-117.6,-422.64,438.7,254.45,0.64
2333,2253.06,10.99,161.52,-119.39,-422.08,438.64,254.21,0.91
2343,2262.87,11.41,158.88,-121.22,-421.42,438.51,253.95,1.28
2353,2272.67,11.77,156.24,-123.08,-420.65,438.29,253.69,1.1
2363,2282.45,12.25,153.98,-124.96,-419.78,437.98,253.42,1.46
2373,2292.21,12.79,151.93,-126.89,-418.79,437.59,253.14,1.65
2383,2301.95,13.35,149.87,-128.87,-417.69,437.12,252.85,1.71
2393,2311.67,14.04,147.62,-130.89,-416.46,436.54,252.55,2.1
2403,2321.36,14.66,145.72,-132.96,-415.1,435.87,252.24,1.89
2413,2331.02,15.34,143.81,-135.07,-413.6,435.1,251.91,2.07
2423,2340.65,15.89,141.95,-137.22,-411.98,434.23,251.58,1.68
2433,2350.25,16.32,140.28,-139.38,-410.24,433.27,251.23,1.31
2443,2359.84,16.72,138.81,-141.54,-408.39,432.22,250.88,1.22
2453,2369.41,17.17,136.78,-143.7,-406.43,431.09,250.53,1.37
2463,2378.95,17.67,134.92,-145.85,-404.35,429.85,250.17,1.52
2464.6,2380.47,17.75,134.64,-146.19,-404,429.64,250.11,1.52
2493.74,2408.11,19.27,129.52,-152.37,-397.13,425.36,249.01,1.59
2536.07,2447.87,20.86,125.56,-161.2,-385.61,417.95,247.31,1.14
2576.99,2485.96,22,125.92,-169.93,-373.48,410.32,245.53,0.85
2617.92,2523.25,26.64,124.65,-179.65,-359.71,402.08,243.46,3.46
2658.3,2558.64,30.86,121.61,-190.23,-343.44,392.6,241.02,3.19
2699.07,2593.17,33.41,117.41,-200.88,-324.56,381.7,238.25,1.91
2738.83,2625.69,36.82,115.77,-211.11,-304.11,370.2,235.23,2.61
2779.26,2657.02,41.55,113.83,-221.8,-280.92,357.93,231.71,3.57
2820.02,2686.53,45.63,112.36,-232.81,-255.07,345.34,227.61,3.05
2860.02,2713.52,49.5,108.88,-243.17,-227.44,332.96,223.09,2.95
2900.45,2739.09,52.08,104.36,-252.11,-197.44,320.22,218.07,1.95
2939.72,2762.76,53.78,102.53,-259.38,-166.96,308.47,212.77,1.32
2980.29,2786.48,54.65,103.04,-266.67,-134.87,298.84,206.83,0.65
3008.61,2802.75,55.25,103.4,-271.97,-112.3,294.24,202.44,0.65
3060.63,2832.55,54.85,99.95,-280.6,-70.55,289.33,194.11,0.23
3081.25,2844.5,54.36,97.21,-283.11,-53.94,288.2,190.79,0.72
3136.6,2877.01,53.7,95.71,-288.15,-9.43,288.3,181.87,0.36
3172.51,2898.26,53.76,98.14,-291.64,19.31,292.28,176.21,0.05
3216.39,2924.21,53.72,101.3,-297.61,54.18,302.5,169.68,0.03
3257.05,2948.42,53.2,103.39,-304.59,86.09,316.52,164.22,0.39
3297.38,2972.45,53.67,105.77,-312.75,117.43,334.07,159.42,0.36
3337.63,2996.5,52.96,107.03,-321.86,148.4,354.42,155.25,0.54
3375.41,3019.28,52.87,106.59,-330.58,177.25,375.1,151.8,0.07
3416.55,3044.07,53,107.02,-340.07,208.67,398.99,148.47,0.1
3456.15,3067.95,52.83,106.74,-349.24,238.9,423.13,145.63,0.13
3495.52,3091.77,52.73,105.59,-357.97,269.01,447.78,143.08,0.08
