12362.5	2.59903
12363	2.602
12363.5	2.64095
12364	2.63001
12364.5	2.58206
12365	2.55104
12365.5	2.551
12366	2.35626
12366.5	2.19721
12367	2.25592
12367.5	2.26299
12368	2.25301
12368.5	2.257
12369	2.23203
12369.5	2.18306
12370	2.21468
12370.5	2.32386
12371	2.36594
12371.5	2.35801
12372	2.41592
12372.5	2.38704
12373	2.30111
12373.5	2.33096
12374	2.47381
12374.5	2.52893
12375	2.51702
12375.5	2.56194
12376	2.46092
12376.5	2.31719
12377	2.29004
12377.5	2.31197
12378	2.33397
12378.5	2.28906
12379	2.23407
12379.5	2.233
12380	2.24498
12380.5	2.24999
12381	2.29794
12381.5	2.27403
12382	2.22906
12382.5	2.21901
12383	2.21001
12383.5	2.25494
12384	2.27597
12384.5	2.26302
12385	2.29296
12385.5	2.33894
12386	2.36297
12386.5	2.37199
12387	2.36801
12387.5	2.41294
12388	2.50188
12388.5	2.66
12389	2.66
12389.5	2.66
12390	2.4343
12390.5	2.35311
12391	2.34301
12391.5	2.34899
12392	2.36598
12392.5	2.41294
12393	2.416
12393.5	2.47392
12394	2.39011
12394.5	2.32109
12395	2.321
12395.5	2.318
12396	2.32
12396.5	2.32699
12397	2.327
12397.5	2.33399
12398	2.32201
12398.5	2.31301
12399	2.31999
12399.5	2.318
12400	2.32599
12400.5	2.30303
12401	2.3
12401.5	2.27603
12402	2.30696
12402.5	2.32697
12403	2.35796
12403.5	2.26912
12404	2.22905
12404.5	2.21702
12405	2.217
12405.5	2.22998
12406	2.23
12406.5	2.22198
12407	2.21801
12407.5	2.25295
12408	2.24102
12408.5	2.23501
12409	2.28394
12409.5	2.29498
12410	2.31897
12410.5	2.33198
12411	2.29006
12411.5	2.31896
12412	2.29403
12412.5	2.28302
12413	2.23706
12413.5	2.27395
12414	2.28898
12414.5	2.31696
12415	2.30302
12415.5	2.27603
12416	2.28399
12416.5	2.27202
12417	2.24204
12417.5	2.26597
12418	2.21706
12418.5	2.216
12419	2.26593
12419.5	2.269
12420	2.20508
12420.5	2.14009
12421	2.17995
12421.5	2.24791
12422	2.26298
12422.5	2.265
12423	2.262
12423.5	2.28197
12424	2.26902
12424.5	2.24803
12425	2.24301
12425.5	2.243
12426	2.28295
12426.5	2.27801
12427	2.30496
12427.5	2.30101
12428	2.33296
12428.5	2.27707
