depthft	density_gcc	s_v	hydrostatic_pres	porosity	gradient
6048.5	2.718	45.945	18.067	-0.011	26.636
6049.0	2.719	45.949	18.069	-0.011	26.648
6049.5	2.724	45.953	18.07	-0.014	26.69
6050.0	2.731	45.957	18.072	-0.018	26.762
6050.5	2.743	45.961	18.073	-0.025	26.882
6051.0	2.721	45.965	18.075	-0.012	26.665
6051.5	2.738	45.969	18.076	-0.022	26.828
6052.0	2.747	45.974	18.078	-0.028	26.922
6052.5	2.744	45.978	18.079	-0.026	26.895
6053.0	2.731	45.982	18.081	-0.018	26.762
6053.5	2.732	45.986	18.082	-0.019	26.775
6054.0	2.742	45.99	18.084	-0.025	26.871
6054.5	2.767	45.994	18.085	-0.04	27.121
6055.0	2.78	45.998	18.087	-0.047	27.243
6055.5	2.798	46.002	18.088	-0.057	27.416
6056.0	2.816	46.007	18.09	-0.068	27.596
6056.5	2.818	46.011	18.091	-0.069	27.612
6057.0	2.832	46.015	18.093	-0.078	27.757
6057.5	2.833	46.019	18.094	-0.078	27.766
6058.0	2.826	46.023	18.095	-0.074	27.695
6058.5	2.802	46.028	18.097	-0.06	27.461
6059.0	2.738	46.032	18.098	-0.022	26.833
6059.5	2.734	46.036	18.1	-0.02	26.798
6060.0	2.754	46.04	18.101	-0.032	26.985
6060.5	2.802	46.044	18.103	-0.06	27.463
6061.0	2.856	46.048	18.104	-0.092	27.991
6061.5	2.844	46.053	18.106	-0.085	27.871
6062.0	2.804	46.057	18.107	-0.061	27.483
6062.5	2.734	46.061	18.109	-0.02	26.793
6063.0	2.716	46.065	18.11	-0.009	26.612
6063.5	2.733	46.069	18.112	-0.019	26.783
6064.0	2.724	46.073	18.113	-0.014	26.699
6064.5	2.726	46.077	18.115	-0.015	26.71
6065.0	2.73	46.081	18.116	-0.018	26.757
6065.5	2.722	46.085	18.118	-0.013	26.674
6066.0	2.721	46.089	18.119	-0.012	26.663
6066.5	2.721	46.093	18.121	-0.012	26.668
6067.0	2.726	46.097	18.122	-0.015	26.711
6067.5	2.752	46.102	18.124	-0.031	26.974
6068.0	2.731	46.106	18.125	-0.018	26.765
6068.5	2.715	46.11	18.127	-0.009	26.606
6069.0	2.723	46.114	18.128	-0.014	26.689
6069.5	2.738	46.118	18.13	-0.023	26.835
6070.0	2.735	46.122	18.131	-0.021	26.802
6070.5	2.7	46.126	18.133	-0.0	26.461
6071.0	2.72	46.13	18.134	-0.012	26.656
6071.5	2.723	46.134	18.136	-0.014	26.685
6072.0	2.732	46.138	18.137	-0.019	26.777
6072.5	2.724	46.142	18.139	-0.014	26.693
6073.0	2.719	46.146	18.14	-0.011	26.649
