depthft	density_gcc	s_v	hydrostatic_pres	porosity	gradient
3652	2.218	17.019	10.909	0.284	21.736
3653	2.191	17.025	10.912	0.299	21.472
3654	2.198	17.032	10.915	0.295	21.54
3655	2.202	17.038	10.918	0.293	21.58
3656	2.234	17.045	10.921	0.274	21.893
3657	2.268	17.052	10.924	0.254	22.226
3658	2.254	17.058	10.927	0.262	22.089
3659	2.154	17.065	10.93	0.321	21.109
3660	2.166	17.071	10.933	0.314	21.227
3661	2.166	17.078	10.936	0.314	21.227
3662	2.174	17.084	10.939	0.309	21.305
3663	2.164	17.091	10.942	0.315	21.207
3664	2.18	17.097	10.945	0.306	21.364
3665	2.172	17.104	10.948	0.311	21.286
3666	2.182	17.11	10.95	0.305	21.384
3667	2.202	17.117	10.953	0.293	21.58
3668	2.194	17.123	10.956	0.298	21.501
3669	2.166	17.13	10.959	0.314	21.227
3670	2.168	17.136	10.962	0.313	21.246
3671	2.136	17.143	10.965	0.332	20.933
3672	2.151	17.149	10.968	0.323	21.08
3673	2.136	17.156	10.971	0.332	20.933
3674	2.134	17.162	10.974	0.333	20.913
3675	2.14	17.168	10.977	0.329	20.972
3676	2.13	17.175	10.98	0.335	20.874
3677	2.106	17.181	10.983	0.349	20.639
3678	2.1	17.187	10.986	0.353	20.58
3679	2.114	17.194	10.989	0.345	20.717
3680	2.119	17.2	10.992	0.342	20.766
3681	2.11	17.206	10.995	0.347	20.678
3682	2.114	17.213	10.998	0.345	20.717
3683	2.11	17.219	11.001	0.347	20.678
3684	2.127	17.225	11.004	0.337	20.845
3685	2.158	17.232	11.007	0.319	21.148
3686	2.154	17.238	11.01	0.321	21.109
3687	2.122	17.244	11.013	0.34	20.796
3688	2.154	17.251	11.016	0.321	21.109
3689	2.154	17.257	11.019	0.321	21.109
3690	2.15	17.264	11.022	0.324	21.07
3691	2.126	17.27	11.025	0.338	20.835
3692	2.108	17.276	11.028	0.348	20.658
3693	2.104	17.283	11.031	0.351	20.619
3694	2.1	17.289	11.034	0.353	20.58
3695	2.103	17.295	11.037	0.351	20.609
3696	2.104	17.301	11.04	0.351	20.619
3697	2.104	17.308	11.043	0.351	20.619
3698	2.086	17.314	11.046	0.361	20.443
3699	2.082	17.32	11.049	0.364	20.404
3700	2.116	17.327	11.052	0.344	20.737
3701	2.132	17.333	11.055	0.334	20.894
3702	2.152	17.339	11.058	0.322	21.09
3703	2.124	17.346	11.061	0.339	20.815
3704	2.095	17.352	11.064	0.356	20.531
3705	2.086	17.358	11.067	0.361	20.443
3706	2.082	17.364	11.07	0.364	20.404
3707	2.066	17.371	11.073	0.373	20.247
3708	2.062	17.377	11.076	0.375	20.208
3709	2.07	17.383	11.079	0.371	20.286
3710	2.088	17.389	11.082	0.36	20.462
3711	2.078	17.395	11.085	0.366	20.364
3712	2.082	17.402	11.088	0.364	20.404
3713	2.082	17.408	11.091	0.364	20.404
3714	2.124	17.414	11.094	0.339	20.815
3715	2.138	17.42	11.097	0.331	20.952
3716	2.134	17.427	11.1	0.333	20.913
3717	2.086	17.433	11.103	0.361	20.443
3718	2.082	17.439	11.106	0.364	20.404
3719	2.078	17.446	11.109	0.366	20.364
3720	2.066	17.452	11.112	0.373	20.247
3721	2.042	17.458	11.115	0.387	20.012
3722	2.031	17.464	11.118	0.394	19.904
3723	2.046	17.47	11.121	0.385	20.051
3724	2.01	17.476	11.124	0.406	19.698
3725	2.06	17.482	11.127	0.376	20.188
3726	2.087	17.488	11.13	0.361	20.453
3727	2.084	17.495	11.133	0.362	20.423
3728	2.09	17.501	11.136	0.359	20.482
3729	2.092	17.507	11.139	0.358	20.502
3730	2.1	17.513	11.142	0.353	20.58
3731	2.074	17.52	11.145	0.368	20.325
3732	2.066	17.526	11.148	0.373	20.247
3733	2.052	17.532	11.151	0.381	20.11
3734	2.07	17.538	11.154	0.371	20.286
3735	2.058	17.544	11.157	0.378	20.168
3736	2.071	17.55	11.16	0.37	20.296
3737	2.074	17.557	11.163	0.368	20.325
3738	2.074	17.563	11.166	0.368	20.325
3739	2.086	17.569	11.169	0.361	20.443
3740	2.084	17.575	11.172	0.362	20.423
3741	2.058	17.581	11.175	0.378	20.168
3742	2.058	17.587	11.178	0.378	20.168
3743	2.02	17.594	11.18	0.4	19.796
3744	2.004	17.6	11.183	0.409	19.639
3745	2.03	17.606	11.186	0.394	19.894
3746	2.054	17.612	11.189	0.38	20.129
3747	2.094	17.618	11.192	0.356	20.521
3748	2.146	17.624	11.195	0.326	21.031
3749	2.14	17.631	11.198	0.329	20.972
3750	2.11	17.637	11.201	0.347	20.678
3751	2.066	17.643	11.204	0.373	20.247
3752	2.054	17.649	11.207	0.38	20.129
3753	2.022	17.655	11.21	0.399	19.816
3754	2.028	17.661	11.213	0.395	19.874
3755	2.04	17.668	11.216	0.388	19.992
3756	2.022	17.674	11.219	0.399	19.816
